speckey,scientific_name
500129,xxLobeliaceae
500135,xxPsilotaceae
500136,xxPsilotum
500137,xxTmesipteris
500146,xxIsoetes
500147,xxEquisetaceae
500148,xxEquisetum
500153,xxMarattiaceae
500157,xxMarattia
500163,xxStellaria longifolia
500164,xxViola renifolia
500167,xxRanunculus pennsylvanicus
500170,xxRanunculus flammula
500171,xxRanunculus flammula var. reptans
500172,xxViola pallens
500175,xxRanunculus repens
500179,xxPotentilla argentea
500182,xxCorydalis sempervirens
500187,xxPolygonum acre
500190,xxPolygonum pennsylvanicum
500195,xxtrifolium
500196,xxStellaria graminea
500198,xxBryoria spiralifera
500180,xxotentilla recta
500559,xxViola subvestita
500565,xxAnemone virginiana
500567,xxPotentilla palustris
500569,xxPolygonum muhlenbergia
500572,xxPolygonum hydropiper
500575,xxLobelia spicata
500584,xxGalium trifidum
500586,xxArenaria serpyllifolia
500588,xxCampanula aparinoides
500771,xxTodea
500774,xxSchizaeaceae
500783,xxAdiantaceae
501024,xxLoxsoma
501025,xxHymenophyllaceae
501026,xxCallistopteris
501027,xxHymenophyllum
501028,xxMecodium
501033,xxCupressaceae
501034,xxAraucariaceae
501035,xxPinus
501036,xxPinus albicaulis
500959,xxLoxsomaceae
502622,xxPinus divaricata
502891,xxArmeria maritima subsp. labradorica
502895,xxRhodiola rosea var. integrifolia
502945,xxPapaver radicatum subsp. polare
502947,xxPapaver lapponicum subsp. occidentale
502949,xxPapaver keelei
502950,xxPapaver macounii
502952,xxPapaver hultenii
502969,xxBryophyta
503037,xxBryoria pseudocapillaris
503181,xxPrimula
503185,xxAndrosace chamaejasme
503187,xxAndrosace chamaejasme subsp. lehmanniana
1000002,Unsorted^taxa
1001930,Harmothoe incertae sedis
1007317,XXPercymoorensis sp
1007355,Malmiana;oceanobdella
1007356,Malmiana;oceanobdella species^complex
1008037,xxBryum dichotomum
1008039,xxBryum erythrophylloides
1008040,xxBryum erythrophylloides subsp. gaspeanum
1007219,Dina;mooreobdella
1007226,XXErpobdella sp
1007546,xxAndreaea crassinervia
1007588,xxOligotrichum hercynicum var. hercynicum
1007684,xxPhyscomitrium pygmaeum
1007300,Bdellarogatis;mollibdella
1007301,Bdellarogatis;mollibdella species^complex
1007697,xxFunaria groutiana
1008750,xxHypnum subimponens var. subimponens
1008770,xxOrthothecium rufescens
1009797,xxDicranum angustum
1008415,xxAmblystegium riparium var. riparium
1008448,xxDrepanocladus fluitans var. uncatus
1008453,xxDrepanocladus latifolius
1008455,xxDrepanocladus lycopodioides var. brevifolius
1009716,xxCampylopus subulatus var. schimperi
1010110,xxSchistidium
1008481,xxHygrohypnum molle
1010142,xxGrimmia papillinervis
1010150,xxGrimmia subanodon
1010153,xxGrimmia torngakiana
1010155,xxGrimmia torquata var. flettii
1009758,xxCynodontium sp.
1009276,xxEncalypta affinis var. macounii
1009282,xxEncalypta intermedia
1009288,xxEncalypta rhaptocarpa var. rhaptocarpa
1009981,xxFissidens clebschii
1009540,xxPottia intermedia var. intermedia
1009546,xxPottia truncata var. major
1009547,xxPottia truncata var. truncata
1008073,xxBryum pendulum
1009857,xxTrematodon boasii
1009314,xxAnoectangium incurvans
1009317,xxAnoectangium obtusifolium
1009337,xxHymenostomum rostellatum var. phascoides
1008990,xxLescuraea radicosa
1008995,xxLescuraea radicosa var. radicosa f. holzingeri
1010314,xxCalypogeja sp.
1010564,xxJungermannia sp.
1007735,xxMicromitrium austinii
1007736,xxMicromitrium austinii var. austinii
1074656,xxPseudocyphellaria mougeotiana
1078759,xxIsoetes bolanderi var. bolanderi
1074092,xxPannaria pezizoides
1074591,xxTuckermannopsis aurescens
1074601,xxTuckermannopsis fendleri
1078767,xxIsoetes hieroglyphica
1078772,xxIsoetes macrospora
1078388,xxPhyllitis scolopendrium var. americanum
1078390,xxPolybotrya cervina
1078391,xxPolystichopsis
1078392,xxPolystichopsis chaerophylloides
1078400,xxPolystichum braunii subsp. purshii
1078247,xxDeparia japonica
1078549,xxCyatheaceae
1078550,xxAlsophila
1074252,xxPertusaria amara var. flotowiana
1078002,xxCryptogramma crispa
1078003,xxCryptogramma crispa var. acrostichoides
1078004,xxCryptogramma crispa var. sitchensis
1078005,xxCryptogramma stelleri
1078689,xxGrammitis
1078707,xxHymenophyllum contortum
1078708,xxHymenophyllum elegantulum
1078709,xxHymenophyllum elegantulum var. petiolulatum
1078720,xxHymenophyllum polyanthos var. protrusum
1071357,xxAgrestia hispida
1073595,xxLempholemma myriococcum
1074462,xxPhysconia kurokawae
1074471,xxPhytoconis ericetorum
1075292,#1
1078975,xxPolypodium pectinatum
1078979,xxPolypodium plumula
1078980,xxPolypodium polypodioides
1078981,xxPolypodium polypodioides var. michauxianum
1078982,xxPolypodium polypodioides var. polypodioides
1078984,xxPolypodium ptilodon var. caespitosum
1078986,xxPolypodium sororium
1078987,xxPolypodium squamatum
1078989,xxPolypodium thyssanolepis var. riograndense
1078996,xxSalviniaceae
1079910,xxDelphinium chamissonis
