speckey,scientific_name,variation
1077332,Serpentes,xxSerpentes
1077328,Amphisbaenia,xxAmphisbaenia
1076510,Petropedetidae,xxPetropedetidae
1125536,Kinosternidae,xxKinosternidae
1125533,Chelydridae,xxChelydridae
1076661,Testudinidae,xxTestudinidae
1076763,Cheloniidae,xxCheloniidae
1076776,Dermochelyidae,xxDermochelyidae
1076782,Trionychidae,xxTrionychidae
1076794,Pelomedusidae,xxPelomedusidae
1076800,Chelidae,xxChelidae
1076809,Sphenodontidae,xxSphenodontidae
1076998,Gekkonidae,xxGekkonidae
1076814,Iguanidae,xxIguanidae
1076956,Agamidae,xxAgamidae
1076982,Chamaeleonidae,xxChamaeleonidae
1077101,Teiidae,xxTeiidae
1077143,Lacertidae,xxLacertidae
1077159,Cordylidae,xxCordylidae
1125585,Scincidae,xxScincidae
1077287,Anguidae,xxAnguidae
1077278,Helodermatidae,xxHelodermatidae
1077320,Varanidae,xxVaranidae
1077334,Boidae,xxBoidae
1077403,Aniliidae,xxAniliidae
1077405,Tropidophiidae,xxTropidophiidae
1077412,Bolyeriidae,xxBolyeriidae
1077416,Leptotyphlopidae,xxLeptotyphlopidae
1077424,Typhlopidae,xxTyphlopidae
1077429,Colubridae,xxColubridae
1077768,Elapidae,xxElapidae
1077808,Viperidae,xxViperidae
1077810,Viperinae,xxViperinae
1077828,Crotalinae,xxCrotalinae
1077826,Daboia,xxDaboia
1077827,Daboia russelli,xxDaboia russelli
1076656,Chelydra,xxChelydra
1077545,Colubrinae,xxColubrinae
1077683,Natricinae,xxNatricinae
1077500,Lycodontinae,xxLycodontinae
1077786,Acanthophiinae,xxAcanthophiinae
1076657,Chelydra serpentina,xxChelydra serpentina
1077769,Elapinae,xxElapinae
1077798,Hydrophiinae,xxHydrophiinae
1077794,Laticaudinae,xxLaticaudinae
1077789,Micrurinae,xxMicrurinae
1077549,Coluber,xxColuber
1077550,Coluber constrictor,xxColuber constrictor
1077551,Coluber constrictor constrictor,xxColuber constrictor constrictor
1077606,Opheodrys,xxOpheodrys
1077725,Thamnophis,xxThamnophis
1076684,Chrysemys,xxChrysemys
1076685,Chrysemys picta,xxChrysemys picta
1076686,Chrysemys picta picta,xxChrysemys picta picta
1077631,Lampropeltis,xxLampropeltis
1077642,Lampropeltis triangulum,xxLampropeltis triangulum
1077648,Lampropeltis triangulum triangulum,xxLampropeltis triangulum triangulum
1125531,Reptilia,xxReptilia
1125532,Testudines,xxTestudines
1076808,Rhynchocephalia,xxRhynchocephalia
1076813,Sauria,xxSauria
1155304,Crepidula,xxCrepidula
1155400,Velutina,xxVelutina
1076652,Sternotherus,xxSternotherus
1076654,Sternotherus odoratus,xxSternotherus odoratus
1076703,Graptemys,xxGraptemys
1076699,Emydoidea,xxEmydoidea
1076689,Clemmys,xxClemmys
1076692,Clemmys guttata,xxClemmys guttata
1076694,Clemmys marmorata,xxClemmys marmorata
1076726,Terrapene,xxTerrapene
1076727,Terrapene carolina,xxTerrapene carolina
1076787,Trionyx,xxTrionyx
1076777,Dermochelys,xxDermochelys
1076778,Dermochelys coriacea,xxDermochelys coriacea
1076764,Caretta,xxCaretta
1076765,Caretta caretta,xxCaretta caretta
1076773,Lepidochelys,xxLepidochelys
1076775,Lepidochelys kempi,xxLepidochelys kempi
1076708,Malaclemys,xxMalaclemys
1076709,Malaclemys terrapin,xxMalaclemys terrapin
1076767,Chelonia,xxChelonia
1076768,Chelonia mydas,xxChelonia mydas
1076812,Squamata,xxSquamata
1076906,Phrynosoma,xxPhrynosoma
1076910,Phrynosoma douglassi brevirostre,xxPhrynosoma douglassi brevirostre
1076886,Iguana,xxIguana
1076887,Iguana iguana,xxIguana iguana
1077309,Gerrhonotus,xxGerrhonotus
1077187,Eumeces,xxEumeces
1077191,Eumeces fasciatus,xxEumeces fasciatus
1077196,Eumeces septentrionalis,xxEumeces septentrionalis
1077198,Eumeces skiltonianus,xxEumeces skiltonianus
1077389,Charina,xxCharina
1077390,Charina bottae,xxCharina bottae
1077744,Thamnophis sauritus,xxThamnophis sauritus
1077727,Thamnophis butleri,xxThamnophis butleri
1077742,Thamnophis radix,xxThamnophis radix
1077731,Thamnophis elegans,xxThamnophis elegans
1077739,Thamnophis ordinoides,xxThamnophis ordinoides
1077691,Nerodia,xxNerodia
1077704,Nerodia sipedon,xxNerodia sipedon
1077710,Regina,xxRegina
1077712,Regina septemvittata,xxRegina septemvittata
1077717,Storeria,xxStoreria
1077723,Storeria occipitomaculata,xxStoreria occipitomaculata
1077718,Storeria dekayi,xxStoreria dekayi
1077462,Diadophis,xxDiadophis
1077463,Diadophis punctatus,xxDiadophis punctatus
1077467,Hypsiglena,xxHypsiglena
1077468,Hypsiglena torquata,xxHypsiglena torquata
1077442,Heterodon,xxHeterodon
1077447,Heterodon platyrhinos,xxHeterodon platyrhinos
1077443,Heterodon nasicus,xxHeterodon nasicus
1077571,Elaphe,xxElaphe
1077578,Elaphe obsoleta,xxElaphe obsoleta
1077586,Elaphe vulpina,xxElaphe vulpina
1077878,Sistrurus,xxSistrurus
1077879,Sistrurus catenatus,xxSistrurus catenatus
1077849,Crotalus,xxCrotalus
1077855,Crotalus horridus,xxCrotalus horridus
1077868,Crotalus viridis,xxCrotalus viridis
1155024,Littorinidae,xxLittorinidae
1156197,Sphaerium striatinum,xxSphaerium striatinum
1123116,Lagomorpha,xxLagomorpha
1129399,Crucibulum,xxCrucibulum
1129474,Cerithiopsis,xxCerithiopsis
1118748,Perissodactyla,xxPerissodactyla
1163296,Brontotheriidae,xxBrontotheriidae
1119177,Rodentia,xxRodentia
1170069,Sauropoda,xxSauropoda
1118724,Balaenidae,xxBalaenidae
1118969,Bovidae,xxBovidae
1152817,Ovibovini,xxOvibovini
1118831,Camelidae,xxCamelidae
1117812,Canidae,xxCanidae
1120478,Castoridae,xxCastoridae
1120479,Castor,xxCastor
1046325,Catostomidae,xxCatostomidae
1150328,Cephalaspididae,xxCephalaspididae
1163497,Ceratopsidae,xxCeratopsidae
1118848,Cervidae,xxCervidae
1118907,Odocoileus,xxOdocoileus
1118434,Felidae,xxFelidae
1152657,Homotherium serum,xxHomotherium serum
1118519,Panthera,xxPanthera
501356,Laridae,xxLaridae
1163569,Mosasauridae,xxMosasauridae
1163781,Plioplatecarpus,xxPlioplatecarpus
1118067,Mustelidae,xxMustelidae
1166920,Nodosauridae,xxNodosauridae
1163552,Ornithomimidae,xxOrnithomimidae
1167091,Plesiosauridae,xxPlesiosauridae
1175914,Poraspidinae,xxPoraspidinae
1118742,Proboscidea,xxProboscidea
1117952,Ursidae,xxUrsidae
1077893,Alligator,xxAlligator
1077894,Alligator mississippiensis,xxAlligator mississippiensis
1167493,Allognathosuchus,xxAllognathosuchus
1076131,Amphiuma,xxAmphiuma
1076133,Amphiuma tridactylum,xxAmphiuma tridactylum
1152902,Amyzon,xxAmyzon
1152903,Amyzon aggregatum,xxAmyzon aggregatum
1152904,Amyzon brevipinne,xxAmyzon brevipinne
1163472,Champsosaurus,xxChampsosaurus
1077890,Crocodylia,xxCrocodylia
1163486,Ichthyosauridae,xxIchthyosauridae
1163492,Shastasaurus,xxShastasaurus
1163489,Mixosaurus,xxMixosaurus
1163498,Centrosaurus,xxCentrosaurus
1163503,Triceratops,xxTriceratops
1163511,Hadrosaurus,xxHadrosaurus
1163515,Lambeosaurus,xxLambeosaurus
1168742,Prosaurolophus maximus,xxProsaurolophus maximus
1163544,Dromaeosauridae,xxDromaeosauridae
1163542,Velociraptor,xxVelociraptor
1163563,Tyrannosauridae,xxTyrannosauridae
1163570,Clidastes,xxClidastes
1163572,Halisaurus,xxHalisaurus
1163574,Mosasaurus,xxMosasaurus
1117811,Carnivora,xxCarnivora
1118604,Cetacea,xxCetacea
1163459,Baenidae,xxBaenidae
1152921,Salpida,xxSalpida
1152922,Salpidae,xxSalpidae
1152924,Salpa,xxSalpa
1152925,Salpa fusiformis,xxSalpa fusiformis
1163602,Baena,xxBaena
