skey,site_id,start_latitude,start_longitude,start_latitude_dec,start_longitude_dec,problem
915,45227554,45° 22' N,7542--W ,45.366667,,degrees impossible
1223,L 59144,44° 39' N,8038--W ,44.65,,degrees impossible
1231,L 37755,46° 42' N,6057--W ,46.7,,degrees impossible
1243,L 66679,48° 39' N,08700-W ,48.65,,degrees impossible
1530,CANL 36012,56° 45' N,8845--W ,56.75,,degrees impossible
1531,L 31340,54° 44' N,8224--W ,54.733333,,degrees impossible
1570,L 43288,47° 43' N,5909--W ,47.716667,,degrees impossible
1632,L 27794,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
1713,RDC 1994.V.23-HO,15° 3' N,8452--W ,15.05,,degrees impossible
1753,L 27859,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
2254,PET 1969 1,18° 56' N,0725--E ,18.933333,,degrees impossible
2328,L 48802,53° 43' N,6935--W ,53.716667,,degrees impossible
2400,L 48803,53° 20' N,6954--W ,53.333333,,degrees impossible
2404,L 31763,60° 50' N,7756--W ,60.833333,,degrees impossible
2565,L 27792,91° 45' N,-79° 25' W,91.75,-79.416667,"off Earth or 0,0"
2773,CANL 31796,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
2774,L 27865,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
2781,L 27833,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
2808,L 27828,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
2829,ELB 1959 V17,"50° 31' 26"" N","126° 33' 60"" W",50.523889,-126.566667,seconds too large
2934,L 95746,79° 15' N,78° 81' W,79.25,-79.35,minutes too large
2991,L 71143,48° 70' N,125° 10' W,49.166667,-125.166667,minutes too large
3158,L 16956,44° 50' N,7531--W ,44.833333,,degrees impossible
3191,L 55781,47° 13' N,6150--W ,47.216667,,degrees impossible
3646,ELB 1963 W15,"41° 23' 60"" N","70° 28' 15"" W",41.4,-70.470833,seconds too large
3749,CAN 262020,"65° 15' 42"" N","84° 43' 68"" W",65.261667,-84.735556,seconds too large
4364,L 77033,48° 21' N,8847--W ,48.35,,degrees impossible
4366,L 22789,48° 40' N,8845--W ,48.666667,,degrees impossible
4380,L 53929,512--N W,76° 55' ,,-76.916667,degrees impossible
13761,CMNC 1980-0272,46° 54' N,6703--W ,46.9,,degrees impossible
13762,CMNC 1980-0273,47° 19' N,6809--W ,47.316667,,degrees impossible
14623,CMNC 1989-0812,"30° 0' 36"" N",855412W ,30.01,,degrees impossible
15228,ELB 1957 2C01,"44° 13' 53"" N","80° 49' 60"" W",44.231389,-80.833333,seconds too large
21375,CANM 197415,"18° 6' 0"" N","76° 37' 60"" W",18.1,-76.633333,seconds too large
21530,CANM 232930,66° 60' N,119° 0' W,67.0,-119.0,minutes too large
22286,CANM 105499,47° 53' N,5410--W ,47.883333,,degrees impossible
26930,CANM 260431,"55° 91' 12"" N","85° 14' 26"" W",56.52,-85.240556,minutes too large
26933,CANM 242689,"56° 45' 35"" N","88° 4538' 30"" W",56.759722,-163.641667,minutes too large
28036,CANM 131940,"43° 56' 60"" N","79° 51' 18"" W",43.95,-79.855,seconds too large
30728,CANM 243312,46° 53' N,84° 3029' W,46.883333,-134.483333,minutes too large
33393,CANM 198754,453557-N W,"78° 32' 18"" ",,-78.538333,degrees impossible
36945,CMNFI 1980-0009,"45° 33' 84"" N","80° 21' 9"" W",45.573333,-80.3525,seconds too large
43159,CMNFI 1986-0633,45° 93' N,"94° 40' 5"" W",46.55,-94.668056,minutes too large
58992,CMNFI 1973-0191,68° 28' N,,68.466667,,incomplete pair
73056,CANL 95964,,115° 23' ,,-115.383333,incomplete pair
73714,CANL 97551,6344° N,6826.4° W,6344.0,-6826.4,"off Earth or 0,0"
74045,CANL 98330,4455-N W,65° 17' ,,-65.283333,degrees impossible
74146,CANL 98431,44° 37' N,6334--W ,44.616667,,degrees impossible
