mkey,date_collected
21,1921 (summer)
42,1966-1967
43,1966-67
44,1966-67
45,1966-67
46,"1966, 1967"
47,"1966, 1967"
48,"1966, 1967"
49,"1966, 1967"
50,"1966, 1967"
51,"1966, 1967"
52,"1966, 1967"
53,"1966, 1967"
54,"1966, 1967"
55,"1966, 1967"
56,"1966, 1967"
57,"1966, 1967"
58,"1966, 1967"
60,"1966, 1967"
61,"1966, 1967"
62,"1966, 1967"
106,"1966, 1967"
107,"1966, 1967"
108,"1966, 1967"
109,"1966, 1967"
110,"1966, 1967"
111,"1966, 1967"
112,"1966, 1967"
113,"1966, 1967"
114,"1966, 1967"
115,"1966, 1967"
116,"1966, 1967"
117,"1966, 1967"
118,"1966, 1967"
119,"1966, 1967"
120,"1966, 1967"
121,"1966, 1967"
122,"1966, 1967"
123,"1966, 1967"
124,"1966, 1967"
125,"1966, 1967"
126,"1966, 1967"
127,"1966, 1967"
128,"1966, 1967"
129,"1966, 1967"
130,"1966, 1967"
131,"1966, 1967"
132,"1966, 1967"
133,"1966, 1967"
134,"1966, 1967"
135,"1966, 1967"
136,"1966, 1967"
137,"1966, 1967"
138,"1966, 1967"
139,"1966, 1967"
140,"1966, 1967"
141,"1966, 1967"
142,"1966, 1967"
143,"1966, 1967"
144,"1966, 1967"
145,"1966, 1967"
146,"1966, 1967"
147,"1966, 1967"
148,"1966, 1967"
149,"1966, 1967"
150,"1966, 1967"
151,"1966, 1967"
152,"1966, 1967"
153,"1966, 1967"
154,"1966, 1967"
155,"1966, 1967"
156,"1966, 1967"
157,"1966, 1967"
158,"1966, 1967"
159,"1966, 1967"
160,"1966, 1967"
161,"1966, 1967"
162,"1966, 1967"
163,"1966, 1967"
164,"1966, 1967"
165,"1966, 1967"
166,"1966, 1967"
167,"1966, 1967"
168,"1966, 1967"
169,"1966, 1967"
170,"1966, 1967"
171,1966-00-00 1967-00-00 Summers
172,"1966, 1967"
173,"1966, 1967"
174,"1966, 1967"
175,"1966, 1967"
176,"1966, 1967"
177,"1966, 1967"
178,"1966, 1967"
179,"1966, 1967"
