mkey,speckey,step,relationship,affiliation,begin_date,end_date,portion,position,attrib_type,attributor,attrib_date,attrib_source,certainty,attrib_comment,note,option1,option2,option3,option4,unlinked_value,prior_attribution,taxvarkey,type_specimen,taxonomy,broader_text
20358,1007699,,,,,,,,,"Ireland, R.R.",1983,,,,,,,,,,false,,false,Funaria hygrometrica,Plantae; Bryophyta; Bryopsida; Bryidae; Funariales; Funariaceae; Funaria
17991,1007699,,,,,,,,,"Ireland, R.R.",1988,,,,,,,,,,false,,false,Funaria hygrometrica,Plantae; Bryophyta; Bryopsida; Bryidae; Funariales; Funariaceae; Funaria
28547,1007699,,,,,,,,,,,,,,,,,,,,false,,false,Funaria hygrometrica,Plantae; Bryophyta; Bryopsida; Bryidae; Funariales; Funariaceae; Funaria
28553,1007699,,,,,,,,,,,,,,,,,,,,false,,false,Funaria hygrometrica,Plantae; Bryophyta; Bryopsida; Bryidae; Funariales; Funariaceae; Funaria
28555,1007699,,,,,,,,,"Ireland, R.R.",1981,,,,,,,,,,false,,false,Funaria hygrometrica,Plantae; Bryophyta; Bryopsida; Bryidae; Funariales; Funariaceae; Funaria
28563,1007699,,,,,,,,,"Ireland, R.R.",1989,,,,,,,,,,false,,false,Funaria hygrometrica,Plantae; Bryophyta; Bryopsida; Bryidae; Funariales; Funariaceae; Funaria
28492,1007699,,,,,,,,,,,,,,,,,,,,false,,false,Funaria hygrometrica,Plantae; Bryophyta; Bryopsida; Bryidae; Funariales; Funariaceae; Funaria
28497,1007699,,,,,,,,,,,,,,,,,,,,false,,false,Funaria hygrometrica,Plantae; Bryophyta; Bryopsida; Bryidae; Funariales; Funariaceae; Funaria
106949,1088324,,,,,,,,,,,,,,,,,,,,false,,false,Ribes lacustre,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Rosales; Saxifragaceae; Ribes
126984,1085501,,,,,,,,,"Argus, G.W.",1980,,,,,,,,,,false,,false,Salix glauca,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix
125636,1085501,,,,,,,,,"Argus, G.W.",1978,,,,,,,,,,false,,false,Salix glauca,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix
125647,1085501,,,,,,,,,"Argus, G.W.",1978,,,,,,,,,,false,,false,Salix glauca,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix
