Collection,ID Number,Verbatim object name,Type,Taxonomy Name(s)
Vascular Plant,CAN 578394,Polygonum muhlenbergia (Mn) Wats.,,xxPolygonum muhlenbergia
Vascular Plant,CAN 578400,Polygonum pennsylvanicum L.,,xxPolygonum pennsylvanicum
Vascular Plant,CAN 578410,Galium trifolium Michx.,,Galium triflorum
Palynology,CMNPYM03290,Ranunculus aquatilis var. capillaceus,scientific name,xxRanunculus aquatilis var. capillaceus
Vascular Plant,CAN 362290,Ranunculus aquatilis var. capillaceus,original identification,Ranunculus subrigidus
Vascular Plant,CAN 55422,Ranunculus aquatilis var. capillaceus,previous name,Ranunculus subrigidus
Vascular Plant,CAN 55415,Ranunculus aquatilis var. capillaceus,previous name,Ranunculus confervoides
Vascular Plant,CAN 55415,Ranunculus aquatilis var. capillaceus,original identification,Ranunculus confervoides
Vascular Plant,CAN 208694,Ranunculus aquatilis var. capillaceus,previous name,Ranunculus subrigidus
Vascular Plant,CAN 208694,Ranunculus aquatilis var. capillaceus,original identification,Ranunculus subrigidus
Vascular Plant,CAN 55418,Ranunculus aquatilis var. capillaceus,previous name,Ranunculus subrigidus
Vascular Plant,CAN 207492,Ranunculus aquatilis var. capillaceus,original identification,Ranunculus confervoides
Vascular Plant,CAN 212365,Ranunculus aquatilis var. capillaceus,original identification,Ranunculus confervoides
Vascular Plant,CAN 6369,Pinus flexilis var. albicaulis Wat.,,xxPinus albicaulis
Fossil Vertebrate,CMNFV 8506,Daspleotsaurus torosus,,Daspletosaurus torosus
Vascular Plant,CAN 578429,Stellalria longifolia Muhl.,,Stellaria longifolia
Lichen,CANL 113569,Cladina stellaris aberrans,,Cladonia stellaris var. aberrans
Vascular Plant,CAN 91984,Armeria vulgaris Willd. ssp. sibirica (Turcz.) n. comb. (Statice labradorica Wallr.),original identification,Armeria scabra
Vascular Plant,CAN 268713,Sedum roseum var. integrifolium,original identification,Rhodiola integrifolia
Vascular Plant,CAN 268712,Sedum roseum var. integrifolium,original identification,Rhodiola integrifolia
Insect,CMNEN 00012115,Apion goldilox,,Coelocephalapion goldilox
Bryophyte,CANM 188114,Brotherella canadensis,,""
Crustacea,CMNC 2003-0157,Isopod sp. B,,Isopoda
Crustacea,CMNC 2003-0158,Isopod sp. B,,Isopoda
Crustacea,CMNC 2003-0153,Isopod sp. B,,Isopoda
Crustacea,CMNC 2003-0154,Isopod sp. B,,Isopoda
Crustacea,CMNC 2003-0155,Isopod sp. B,,Isopoda
Crustacea,CMNC 2003-0156,Isopod sp. B,,Isopoda
Bryophyte,CANM 5360,Lophozia marchica,original identification,Lophozia laxa
Bryophyte,CANM 5361,Lophozia marchica,original identification,Lophozia laxa
