Collection,ID Number,Verbatim name,Parsed name
Vascular Plant,CAN 578394,Polygonum muhlenbergia (Mn) Wats.,Polygonum muhlenbergia
Vascular Plant,CAN 578400,Polygonum pennsylvanicum L.,Polygonum pennsylvanicum
Vascular Plant,CAN 578410,Galium trifolium Michx.,Galium trifolium
Vascular Plant,CAN 212365,Ranunculus aquatilis var. capillaceus,Ranunculus aquatilis capillaceus
Vascular Plant,CAN 6369,Pinus flexilis var. albicaulis Wat.,Pinus flexilis albicaulis
Fossil Vertebrate,CMNFV 8506,Daspleotsaurus torosus,Daspleotsaurus torosus
Vascular Plant,CAN 578429,Stellalria longifolia Muhl.,Stellalria longifolia
Lichen,CANL 113569,Cladina stellaris aberrans,Cladina stellaris aberrans
Vascular Plant,CAN 91984,Armeria vulgaris Willd. ssp. sibirica (Turcz.) n. comb. (Statice labradorica Wallr.),Armeria vulgaris sibirica
Vascular Plant,CAN 268712,Sedum roseum var. integrifolium,Sedum roseum integrifolium
Insect,CMNEN 00012115,Apion goldilox,Apion goldilox
Bryophyte,CANM 188114,Brotherella canadensis,Brotherella canadensis
Crustacea,CMNC 2003-0156,Isopod sp. B,Isopod
Bryophyte,CANM 6299,Lophozia marchica,Lophozia marchica
Insect,CMNEN 00011613,Bolbogonium howden,Bolbogonium howden
Insect,CMNEN 00011933,Cyclocephala howdenannea,Cyclocephala howdenannea
Lichen,CANL 111901,Cladonia dimorphotheca Robb.,Cladonia dimorphotheca
Insect,CMNEN 00010977,Haroldostes columbianus,Haroldostes columbianus
Vascular Plant,CAN 270807,Papaver cornawallisense,Papaver cornawallisense
Insect,CMNEN 00012463,Ontherus sanctamartae,Ontherus sanctamartae
Lichen,CANL 7411,Cl.  crispata v. infundibulifera f. albopunctata,Cl. crispata
Lichen,CANL 29901,Cladonia gracilis subsp. gracillima,Cladonia gracilis gracillima
Insect,CMNEN 00011931,Cyclocephala endrodii,Cyclocephala endrodii
Annelid,CMNA 1990-0056,Percymoorensis lateromaculatus,Percymoorensis lateromaculatus
Annelid,CMNA 1988-0576,Incertae,Incertae
Crustacea,CMNC 1987-0156,Acanthocylops (Megacyclops) magnus,Acanthocylops magnus
Crustacea,CMNC 1990-0004,Chiridotea coeca,Chiridotea coeca
Crustacea,CMNC 2003-1923,Gammaracanthus longirostris (short type),Gammaracanthus longirostris
Crustacea,CMNC 1981-0116,Gammaracanthus curvirostris laticarina,Gammaracanthus curvirostris laticarina
