id,language,catalog_number,collection_code,collection,scientific_name,specimen_name,maker,collector,place_collected,date_collected,place_made,site,culture,date_made,specimen_nature,sex,geologic_age,stage,measurements,description,acquisition_number,item_count,system_count,parent_key,broader_text,whole_part,home_location,note,language_of_material,option1,option2,option3,option4,option5,option6,option7,flag1,flag2,flag3,gbif,publish,loan_allowed,offsite,create_date,created_by,update_date,updated_by,location,location_date,location_levels,condition,condition_date,valuation,valuation_date,legal_status
549487,eng,CMNFI 2006-0014.1,CMNFI,Fish,Gadus ogac,,,"Johnson, G.","North America: Canada, Québec, Mun. Rég. de Cté de Minganie",1979-06-06,,Johnson - 6 JUN 1979 - CMNFI 2006-0014,,,fluid,,,,total length: 350 mm,,A1993.0223,1,,,,whole,,,eng,,,,,,,,false,false,false,false,true,true,false,2006-05-04 00:00:00 UTC,SLAFRAMBOISE,2016-07-27 10:11:15 UTC,XGVIEWS,,,,,,,,permanent collection
412725,eng,CMNFI 2000-0017.1,CMNFI,Fish,Petromyzon marinus,,,"Jensen, Jill A.","North America: Canada, Québec, Mun. Rég. de Cté de Minganie",1982-08-03,,Jensen - 3 AUG 1982,,,fluid,,,ammocoete,,,A2000.0035,1,,,,whole,,"Donated by Carleton University, September 1998.",eng,,,,,,,,false,false,false,true,true,true,false,2000-12-08 00:00:00 UTC,SLAFRAMBOISE,2016-07-27 10:10:34 UTC,XGVIEWS,,,,,,,,permanent collection
320278,eng,CMNAV S1727,CMNAV,Bird,Somateria mollissima,,,Faune et Parcs du Québec,"North America: Canada, Québec, Mun. Rég. de Cté de Minganie",1976-02-13,,Ministre du Tourisme de la Chasse et de la Peche-13 Feb 1976,,,osteo,M,,adult,,"Breeding: testes not enlarged; Plumage/pelage condition: fresh; borealis by Ouellet, Henri; Fat class: 01",1978-075,1,,,,whole,,,eng,,,,Original collector: Ministere du Tourisme de la Chasse et de la Peche,,,,false,false,false,true,true,true,false,1999-07-15 00:00:00 UTC,CONVERSION,2016-07-27 10:09:41 UTC,XGVIEWS,,,,,,,,permanent collection
320456,eng,CMNAV S1910,CMNAV,Bird,Somateria mollissima,,,Faune et Parcs du Québec,"North America: Canada, Québec, Mun. Rég. de Cté de Minganie",1976-02-13,,Ministere Tourisme-13 Feb 1976,,,osteo,M,,immature,,"Diet: yes, in oesophagus: Hyas coarctatus; Breeding: testes not enlarged; Plumage/pelage condition: fresh; dresseri by Ouellet, Henri; Fat class: 02",1978-075,1,,,,whole,,,eng,,,,"Original collector: Ministere Tourisme, Chasse; Peche",,,,false,false,false,true,true,true,false,1999-07-15 00:00:00 UTC,CONVERSION,2016-07-27 10:09:41 UTC,XGVIEWS,,,,,,,,permanent collection
320466,eng,CMNAV S1920,CMNAV,Bird,Somateria mollissima,,,Faune et Parcs du Québec,"North America: Canada, Québec, Mun. Rég. de Cté de Minganie",1976-05-01,,MTCP-01 May 1976,,,osteo,F,,,,Breeding: ovary; Plumage/pelage condition: molt; borealis ?; Fat class: 04,1978-075,1,,,,whole,,,eng,,,,Original collector: MTCP,,,,false,false,false,true,true,true,false,1999-07-15 00:00:00 UTC,CONVERSION,2016-07-27 10:09:41 UTC,XGVIEWS,,,,,,,,permanent collection
320682,eng,CMNAV S5802,CMNAV,Bird,Anas rubripes,,,Faune et Parcs du Québec,"North America: Canada, Québec, Mun. Rég. de Cté de Minganie",1976-05-20,,Ministere Tourisme-1976-May-20,,,osteo,F,,adult,938.3 g; 625 mm,Fat class: 01,,1,,,,whole,,,eng,,,,"Original collector: Ministere Tourisme, Chasse; Peche",,,,false,false,false,true,true,true,false,1999-07-15 00:00:00 UTC,CONVERSION,2016-07-27 10:09:41 UTC,XGVIEWS,,,,,,,,permanent collection
320677,eng,CMNAV S5770,CMNAV,Bird,Somateria mollissima,,,Faune et Parcs du Québec,"North America: Canada, Québec, Mun. Rég. de Cté de Minganie",,,Ministere Tourisme,,,osteo,F,,,1805.8 g; 584 mm,Fat class: 00,,1,,,,whole,,,eng,,,,"Original collector: Ministere Tourisme, Chasse; Peche",,,,false,false,false,true,true,true,false,1999-07-15 00:00:00 UTC,CONVERSION,2016-07-27 10:09:41 UTC,XGVIEWS,,,,,,,,permanent collection
320676,eng,CMNAV S5771,CMNAV,Bird,Somateria mollissima,,,Faune et Parcs du Québec,"North America: Canada, Québec, Mun. Rég. de Cté de Minganie",,,Ministere Tourisme,,,osteo,U,,immature,480 mm,Fat class: 00,,1,,,,whole,,,eng,,,,"Original collector: Ministere Tourisme, Chasse; Peche",,,,false,false,false,true,true,true,false,1999-07-15 00:00:00 UTC,CONVERSION,2016-07-27 10:09:41 UTC,XGVIEWS,,,,,,,,permanent collection
320675,eng,CMNAV S5772,CMNAV,Bird,Somateria mollissima,,,Faune et Parcs du Québec,"North America: Canada, Québec, Mun. Rég. de Cté de Minganie",,,Ministere Tourisme,,,osteo,U,,immature,1302.6 g; 554 mm,Fat class: 00,,1,,,,whole,,,eng,,,,"Original collector: Ministere Tourisme, Chasse; Peche",,,,false,false,false,true,true,true,false,1999-07-15 00:00:00 UTC,CONVERSION,2016-07-27 10:09:41 UTC,XGVIEWS,,,,,,,,permanent collection
320674,eng,CMNAV S5774,CMNAV,Bird,Somateria mollissima,,,Faune et Parcs du Québec,"North America: Canada, Québec, Mun. Rég. de Cté de Minganie",,,Ministere Tourisme,,,osteo,M,,adult,,Fat class: 01,,1,,,,whole,,,eng,,,,"Original collector: Ministere Tourisme, Chasse; Peche",,,,false,false,false,true,true,true,false,1999-07-15 00:00:00 UTC,CONVERSION,2016-07-27 10:09:41 UTC,XGVIEWS,,,,,,,,permanent collection
