659895,Vascular Plant,CAN 111492,Taraxacum canadense
659897,Vascular Plant,CAN 111495,Taraxacum canadense
658610,Fossil Vertebrate,CMNFV 32415,Thuletherium ultimum
596612,Fossil Vertebrate,CMNFV 37105,concretion
342026,Fossil Vertebrate,CMNFV 45576,soil sample
333140,Fossil Vertebrate,CMNFV 27336,rock fragment
332443,Fossil Vertebrate,CMNFV 26637,stick
473224,Gem,CMNGE 21643,Brooch
549265,Vascular Plant,CAN 156928,Aspidium cristatum ×marginale
548399,Fossil Vertebrate,CMNFV 52688,KT boundary sample
580226,Vascular Plant,CAN 588169,Catharine Parr Traill Bound Herbarium: Red-brown album with 4 animal heads
580229,Vascular Plant,CAN 588171,Catharine Parr Traill Collection: Fern pressings 1894-1899
580011,Vascular Plant,CAN 588167,Catharine Parr Traill Bound Herbarium: Victorian Lady Cameo
580034,Vascular Plant,CAN 588166,"Catharine Parr Traill Bound Herbarium: Wild Flowers, Mosses and Ferns"
580035,Vascular Plant,CAN 588168,Catharine Parr Traill Collection: Mounted Specimens (12) in folder
580228,Vascular Plant,CAN 588170,Catharine Parr Traill Bound Herbarium: Child Portrait
519417,Fossil Vertebrate,CMNFV 43744,stone
580042,Vascular Plant,CAN 588165,"Catharine Parr Traill Bound Herbarium: Plants collected by C. Parr Traill, Gift to Mrs. Evans by Annie Atwood, Mrs. Traill's granddaughter"
715663,Registration,ACQVOL1,book
659902,Vascular Plant,CAN 111494,Taraxacum canadense
659904,Vascular Plant,CAN 111493,Taraxacum canadense
660440,Vascular Plant,CAN 595826,Salix barclayi × S. pulchra
660459,Vascular Plant,CAN 595830,Salix eriocephala × S. interior
757550,Fish,CMNFI 1979-0016.1,Psephurus gladius
757576,Fish,CMNFI 1979-0015.1,Psephurus gladius
755915,Alga,CANA 3383,Chondrus crispus
756621,Vascular Plant,CAN 565322,Doryphora sassafras
