mkey,descriptor,term,note
561348,substrate,n/a,in swale by lake
561352,substrate,n/a,on old logs
561353,substrate,n/a,on rotten log
561446,substrate,n/a,"on exposed rock, in seepage"
659225,substrate,n/a,on gravel
659226,substrate,n/a,on rocks
659227,substrate,n/a,moist moss
659250,substrate,n/a,"Damp, shaded granitic rock; foot of N.-facing cliff in woods"
666580,substrate,n/a,on log in shade.
703193,substrate,n/a,on damp earth and logs by the sea
703450,substrate,n/a,in Dicranum elongatum
703483,substrate,n/a,moss lichen peat
703492,substrate,n/a,on humus
703523,substrate,n/a,On basaltic talus boulders
703526,substrate,n/a,shaded moist tops and sides of basaltic talus boulders
703529,substrate,n/a,shaded base of large basaltic talus boulder
703530,substrate,n/a,in damp moss cushion
703531,substrate,n/a,on talus boulder
703532,substrate,n/a,on side of basaltic talus boulder
703534,substrate,n/a,shaded sides of basaltic talus boulders
703537,substrate,n/a,among mosses on ledges of basaltic rock
703538,substrate,n/a,moist basaltic rocks
703540,substrate,n/a,On moist mosses and humus on basaltic talus
703542,substrate,n/a,moist moss mat
703543,substrate,n/a,Moist mats over basaltic talus boulders
703546,substrate,n/a,basaltic talus boulder
703550,substrate,n/a,on boulder talus
703553,substrate,n/a,on moist shaded talus boulders
703557,substrate,n/a,in crevices and on large shaded basilic talus boulders
703558,substrate,n/a,moist crevices and between large basaltic talus boulders
703560,substrate,n/a,among mosses in crevices and crannies among basaltic talus boulders
703574,substrate,n/a,In crevices of basaltic talus boulders
703575,substrate,n/a,In moist shaded crevices of large basaltic talus boulders
703576,substrate,n/a,On humus over talus boulder
703596,substrate,n/a,Humus on rocks
703598,substrate,n/a,Cladonia slope
703599,substrate,n/a,On rocks and humus
703600,substrate,n/a,On humus over rocks
703601,substrate,n/a,Humus on boulder
703602,substrate,n/a,Mixed with Chandonanthus among boulders
703626,substrate,n/a,on rocks
703629,substrate,n/a,on wet rocks
703630,substrate,n/a,on earth
703631,substrate,n/a,on rocks
703650,substrate,n/a,muck among shrubs
703658,substrate,n/a,muck in spring
703660,substrate,n/a,on tufa
703667,substrate,n/a,peaty soil
703668,substrate,n/a,wet roadside
703669,substrate,n/a,damp silt
703673,substrate,n/a,shaded cliff
703675,substrate,n/a,damp cliff
703683,substrate,n/a,wet tufa
703685,substrate,n/a,sopping wet marly soil
703687,substrate,n/a,on bogs
703690,substrate,n/a,damp soil
703697,substrate,n/a,moist ground
703704,substrate,n/a,wet splodge
703708,substrate,n/a,very wet peaty muck
703710,substrate,n/a,moist clay
703711,substrate,n/a,in moss.
703714,substrate,n/a,on ground
703715,substrate,n/a,sandy soil
703718,substrate,n/a,clay soil
26239,substrate,n/a,On sandy soil of river bank
26250,substrate,n/a,On sandy bank of river.
26226,substrate,n/a,On soil over cedar roots just above water level.
25483,substrate,n/a,On ground in dried depression.
25505,substrate,n/a,On sandy soil.
703724,substrate,n/a,on soil
703726,substrate,n/a,amongst moss
703731,substrate,n/a,on the roots of moss in water
703743,substrate,n/a,on moss
703758,substrate,n/a,damp humus
703765,substrate,n/a,damp grassy bank
703767,substrate,n/a,humus
703770,substrate,n/a,on moss
703777,substrate,n/a,streamside rocks
703781,substrate,n/a,wet ground
