collections,site_name
"",
Insect,HH&MC 1973.V.07-CO
Insect,RSA 1988.VIII.02-MX (1988-21)
Insect,ATH 1966.VIII.20-JM
Insect,H&AH 1974.V.20-22-VE
Insect,MC&HH 1973.V.10-CO
Annelid,Madill-19830612
Annelid,Madill-19830610
Annelid,Raverty-19821227
Annelid,Aitken-19810800
Annelid,Baker-19800320
Annelid,Baker-19800321
Annelid,Oliver-19710000
Annelid,19690711
Annelid,Madrid-19800825
Annelid,LGL Ltd.-19790800
Annelid,Metcalfe-19830517
Annelid,Metcalfe-19830719
Annelid,Baker-19810324
Annelid,19690721
Annelid,19690712
Annelid,19690813
Annelid,19691123
Annelid,Wacasey-19790917
Annelid,Madill-19830617
Annelid,Khan-19840621
Annelid,Madill-19840725
"Annelid,General Invertebrate",Madill-19840726
Annelid,Madill-19840728
"Annelid,General Invertebrate",Madill-19840729
Annelid,Madill-19840720
Annelid,Madill-19840723
Annelid,Ouellet-19720817
Annelid,19690623
Annelid,19690815
Annelid,19690814
Annelid,Bousfield-19560000
Annelid,19690807
Annelid,Vaillancourt-19770820
Annelid,Vaillancourt-19771024
"Annelid,Crustacea",Vaillancourt-unknown
Annelid,Vaillancourt-19770607
Annelid,Vaillancourt-19770926
Annelid,19690812
Annelid,19690911
Annelid,19690811
Annelid,19690713
Annelid,Baker-19800517
Annelid,Baker-19800526
Annelid,Baker-19800628
Annelid,Baker-19791206
Annelid,Baker-19790623
Annelid,Baker-19790907
Annelid,Baker-19790823
Annelid,Baker-19800319
Annelid,Baker-19810211
Annelid,Baker-19810826
Annelid,Baker-19800529
Annelid,Baker-19800516
Annelid,Baker-19811018
Annelid,Baker-19810912
Annelid,Vaillancourt-19751029
Annelid,Vaillancourt-19780801
Annelid,Vaillancourt-19801001
Annelid,McAllister-19580000
Annelid,Thomas-19661010
Annelid,Johansen-19200624
Annelid,Johansen-19240410
"Annelid,Crustacea",Halkett-19070000
"Annelid,Crustacea",Oliver-19710702
"Annelid,Crustacea",Martin-19670715
Annelid,Clarke-19650712
Annelid,Rick-19620520
"Annelid,General Invertebrate,Mollusc,Parasite",unknown-unknown
"Annelid,Mollusc",Macoun-18940000
"Annelid,Crustacea",Schueler-19760712
"Annelid,Crustacea",Schueler-19760700
"Annelid,Crustacea",Schueler-19760723
Annelid,Spreadborough-19000717
Annelid,Baker-19810908
"Annelid,Mollusc",Clarke-19650715
Annelid,Clarke-19680616
Annelid,Herrington-19600822
"Annelid,Mollusc",Herrington-19611020
"Annelid,General Invertebrate",Vowinckel-19660000
Annelid,Baker-19810326
"Annelid,Mollusc",Baker-unknown
Annelid,Baker-19810131
Annelid,Bousfield-19570703
Annelid,Herrington-19610904
Annelid,Hartland-Rowe-19650610
Annelid,Madill-19830611
Annelid,unknown-19650727
"Annelid,Crustacea",Madill-19780603
Annelid,Sutherland-19780603
Annelid,Madill-19780623
Annelid,Appy-19800700
Annelid,Deland-19790428
Annelid,Levings-19721203
Annelid,Levings-19720719
Annelid,Baker-19800528
Annelid,Baker-19800523
Annelid,Baker-19800527
Annelid,Baker-19800322
Annelid,Baker-19800518
Annelid,Madill-19830615
Annelid,Baker-19800420
Annelid,Baker-19800325
Annelid,Baker-19790727
Annelid,Baker-19790728
Annelid,Baker-19790729
Annelid,Baker-19790703
"Annelid,Parasite",Gruchy-19700728
Annelid,Willock-19700619
Annelid,Smith-19660519
Annelid,Rankin-19800728
Annelid,Thonney-19800621
Annelid,Thonney-19800614
"Amphibian and Reptile,Annelid,Bryophyte,Crustacea,General Invertebrate,Lichen,Mammal,Mollusc,Parasite",unknown
Annelid,Tynen-19670900 -19671000
Annelid,Hobson-19740521
"Annelid,General Invertebrate,Mollusc",Low-18990600
Annelid,Clarke-19700910
Annelid,Johansen-19200516
Annelid,unknown-19650520
Annelid,Baker-19800908
Annelid,Oliver-19710816
Annelid,Oliver-19710719
"Annelid,Crustacea,General Invertebrate",Spreadborough-19090600
Annelid,Johansen-19200509
Annelid,Johansen-19200714 -19200715
Annelid,unknown-19650630
Annelid,Duffin-19640000
Annelid,Baker-19810911
Annelid,Baker-19811005
Annelid,Baker-19811004
Annelid,Zehr-19770000
Annelid,19690720
"Annelid,General Invertebrate",19690617
"Annelid,Crustacea",Johansen-19181013
Annelid,McMurray-19830626
Annelid,Gorham-19610502
Annelid,unknown-19290730
"Annelid,Crustacea",Bleakney-19740901
Annelid,Hartland-Rowe-19660618
Annelid,Herrington-19630810
Annelid,Hartland-Rowe-19660602
Annelid,Foote-19780627
Annelid,Madill-19851030
Annelid,Madill-19780522
Annelid,Madill-19780525
Annelid,Madill-19780528
Annelid,Madill-19780529
Annelid,Metcalfe-19850921
Annelid,Baker-19800514
Annelid,Baker-19800504
Annelid,Levings-19740819
Annelid,Dale-19850800
Annelid,Clarke-19720820
Annelid,Oliver-19710728
Annelid,unknown-19650600
Annelid,Clarke-19670811
"Annelid,General Invertebrate",Huntsman-19230903
Annelid,Rick-19620612
Annelid,Metcalfe-19810602
Annelid,Legris-19810719
Annelid,Legris-19810415
Annelid,Clarke-19650604
Annelid,Leech-19590727
"Annelid,Crustacea",McAllister-19660611
"Annelid,Crustacea,General Invertebrate",Lavoie-19690814
Annelid,Seidl-19830000
"Annelid,Crustacea",Madill-19830627
Annelid,Elders-19740715
Annelid,unknown-19650526
Annelid,Moore-19620802
Annelid,Hartland-Rowe-19650623
Annelid,Timms-19850528
Annelid,Kooyman-19750713
Annelid,Sutherland-19760703
Annelid,Madill-19770415
Annelid,Elders-19740725
Annelid,Levasseur-19750731
Annelid,Madill-19851105
Annelid,Blinn-19840425
Annelid,Tunnicliffe-19830817
Annelid,Cross-unknown
Annelid,Ko-19850918
Annelid,Madill-19850925
Annelid,Brownlie-19790608
Annelid,McMurray-19820512
Annelid,Madrid-19800911
Annelid,Madrid-19820716
Annelid,Madrid-19820717
Annelid,Madrid-19820825
Annelid,McGee-19780317
Annelid,Conlan 1975 11132
Annelid,Ouellet-19720818
Annelid,Vaillancourt-19750000
Annelid,Madill-19800727
Annelid,Levings-19740822 -19740824
Annelid,Richards-19800808
Annelid,unknown-19650831
Annelid,McMurray-19820616
Annelid,Madill-19740614
Annelid,unknown-19690707
Annelid,Smith-19660725
Annelid,Schueler-unknown
Annelid,Hartland-Rowe-19650622
Annelid,Vaillancourt-19771003
"Annelid,General Invertebrate",19780000
Annelid,19800300
Annelid,Vaillancourt-19760800
Annelid,Vaillancourt-19760927
Annelid,Vaillancourt-19771010
Annelid,Vaillancourt-19770801
Annelid,Metcalfe-19820527
Annelid,Metcalfe-19820714
Annelid,Madill-19830514
Annelid,Clarke-19650611
Annelid,P.-19540901
Annelid,Athearn-19650712
Annelid,unknown-19690801
"Annelid,Crustacea",Smith-19670531
Annelid,Smith-19650528
Annelid,Clarke-19660417
Annelid,Topping-19820706
"Annelid,General Invertebrate",Frank-19820706
Annelid,Gracie-19820705
Annelid,McMurray-19820611
Annelid,McMurray-19820612
Annelid,McMurray-19820605
Annelid,Smith-19660806
"Annelid,Crustacea",Madill-19830618
Annelid,McMurray-19820607
Annelid,unknown-19880615
Annelid,unknown-19890911
Crustacea,Hart-19560225
Annelid,Massad-19710617
Annelid,Massad-19710709
Annelid,Farrow-19830922
Annelid,Farrow-19830928
Crustacea,McAllister-19610722
Annelid,Massad-19700911
Annelid,Massad-19700611
Annelid,Massad-19710623
Annelid,Massad-19700822
Annelid,Massad-19700821
Annelid,Massad-19700730
Annelid,Massad-19710622
Annelid,Bendell-19870705
Annelid,Bendell-19870630
Crustacea,Fisheries and Oceans Canada (Arctic Biological Station)-19700810
Crustacea,Groupe interuniversitatire de recherches oceanographiques du Quebec (GIROQ)-19730925
Crustacea,Groupe interuniversitatire de recherches oceanographiques du Quebec (GIROQ)-19700626
Crustacea,Groupe interuniversitatire de recherches oceanographiques du Quebec (GIROQ)-19700728
Crustacea,Frey-19650815
Annelid,Bendell-19870701
"Crustacea,General Invertebrate",Brassard-19620622
"Crustacea,General Invertebrate",Powell-19670807
Crustacea,Groupe interuniversitatire de recherches oceanographiques du Quebec (GIROQ)-19680628
Crustacea,Groupe interuniversitatire de recherches oceanographiques du Quebec (GIROQ)-19680827
Crustacea,Groupe interuniversitatire de recherches oceanographiques du Quebec (GIROQ)-19680919
Crustacea,Groupe interuniversitatire de recherches oceanographiques du Quebec (GIROQ)-19690515
Crustacea,Groupe interuniversitatire de recherches oceanographiques du Quebec (GIROQ)-19690806
Crustacea,Groupe interuniversitatire de recherches oceanographiques du Quebec (GIROQ)-19690924
