collections,site_id,site_name,placekey,places
Crustacea,CMNC 1995-0349,Fife 19850923,,"North America: Canada, Québec, Territoire de Kativik, Cap William-Smith [placekey:28175] (total:372) | North America: Canada, Nunavut, Killiniq I. [placekey:24982] (total:1)"
Parasite,CMNPA 1978-0401,Anderson Algonquin,,"North America: Canada, Ontario, Nipissing Distr. (ON), Sasajewun Lake [placekey:9828] (total:3) | North America: Canada, Ontario, Algonquin Prov. Park [placekey:494] (total:193) | North America: Canada [placekey:2] (total:1)"
Parasite,CMNPA 1984-8534,Renewable Resources 1976 HPA-434,,"North America: Canada, British Columbia, Cariboo Land Distr., Arctic Lake [placekey:36910] (total:96) | North America: Canada, British Columbia, Cariboo Land Distr., Parsnip Riv. [placekey:12871] (total:96)"
Parasite,CMNPA 1984-8999,Walder 1971 HPA-320,,"North America: Canada, British Columbia [placekey:3] (total:110) | Pacific Ocean: Strait of Georgia [placekey:25507] (total:110)"
Parasite,CMNPA 2001-0004,Sasajewun Wildlife Research Station,,"North America: Canada, Ontario, Algonquin Prov. Park [placekey:494] (total:55) | North America: Canada, Ontario, Nipissing Distr. (ON), Sasajewun Lake [placekey:9828] (total:7)"
"Crustacea, General Invertebrate",CMNI 1900-2041,Calanus 1947 13,,"North America: Canada, Northwest Territories [placekey:14] (total:4) | North America: Canada, Nunavut, Ungava Bay [placekey:9074] (total:78)"
"Mollusc, Parasite",CMNPA 1985-0176,McLaughlin Delta,,"North America: Canada, Manitoba, Delta Beach [placekey:9844] (total:18) | North America: Canada, Manitoba, Delta Marsh [placekey:9784] (total:33)"
"Crustacea, General Invertebrate",CMNI 1991-0073,Stewart 1980 24,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:6) | North America: Canada, Newfoundland and Labrador, Grand Bank Distr., Grand Bank [placekey:9428] (total:48)"
Parasite,CMNPA 1984-5991,Renewable Resources 1976 HPA-403,,"North America: Canada, British Columbia, Cariboo Land Distr., Arctic Lake [placekey:36910] (total:48) | North America: Canada, British Columbia, Cariboo Land Distr., Parsnip Riv. [placekey:12871] (total:48)"
Crustacea,Fife 1985 8,Fife 1985 8,,"North America: Canada, Newfoundland and Labrador, Labrador [placekey:315] (total:44) | North America: Canada, Québec, Territoire de Kativik, Cap William-Smith [placekey:28175] (total:1)"
Parasite,CMNPA 1984-5237,Arai 1964 HPA-80,,"North America: Canada, British Columbia, Range 3 Coast Land Distr. [placekey:836] (total:24) | North America: Canada, British Columbia, Range 2 Coast Land Distr., Burke Ch. [placekey:10233] (total:42)"
"Crustacea, General Invertebrate",CMNI 1989-0876,Calanus 1947 18,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Ungava Bay [placekey:9074] (total:52)"
Parasite,CMNPA 1984-7638,Arai 1964 HPA-99,,"North America: Canada, British Columbia, Range 2 Coast Land Distr., Burke Ch. [placekey:10248] (total:39) | North America: Canada, British Columbia, Range 2 Coast Land Distr., Burke Ch. [placekey:10233] (total:39)"
"Crustacea, Mollusc",CMNML 024048,Calanus 1947 33,,"North America: Canada, Newfoundland and Labrador, Labrador [placekey:315] (total:1) | North America: Canada, Nunavut, Ungava Bay [placekey:9074] (total:37)"
Parasite,CMNPA 1984-7554,Arai 1963 HPA-75,,"North America: Canada, British Columbia, Nanaimo Land Distr., Departure Bay [placekey:174] (total:38) | North America: Canada, British Columbia, Wellington Land Distr., Brandon Is. [placekey:8927] (total:6) | North America: Canada, British Columbia, Nanaimo Land Distr. [placekey:292] (total:1)"
Parasite,CMNPA 1984-5744,Arai 1965 HPA-122,,"North America: Canada, British Columbia, Range 2 Coast Land Distr., Burke Ch. [placekey:10239] (total:35) | North America: Canada, British Columbia, Range 2 Coast Land Distr., Burke Ch. [placekey:10233] (total:35)"
"Crustacea, Mollusc",CMNML 041151,AHC 1963-07-12 C471,,"North America: Canada, Québec [placekey:8] (total:35) | North America: Canada, Nunavut, Hudson Bay (NU) [placekey:14002] (total:2)"
Mammal,CMNMA A20632,Mann - 1953 -South Nahanni River,,"North America: Canada, Northwest Territories, Nahanni National Park Reserve [placekey:603] (total:31) | North America: Canada, Northwest Territories, Fort Simpson [placekey:666] (total:5)"
Mollusc,AHC 1959-10-25 C22,AHC 1959-10-25 C22,,"North America: Canada, Ontario, Leeds and Grenville United Co. [placekey:865] (total:33) | North America: Canada, Ontario, St. Lawrence Riv. [placekey:12056] (total:2)"
"Crustacea, General Invertebrate",CMNC 1984-0116,Stewart 1980 33,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:2) | North America: Canada, Newfoundland and Labrador, Grand Bank Distr., Grand Bank [placekey:9428] (total:33)"
"Crustacea, General Invertebrate",CMNC 1984-0109,Stewart 1980 3,,"North America: Canada, Newfoundland and Labrador, Burin-Placentia West Distr. [placekey:322] (total:15) | North America: Canada, Newfoundland and Labrador, Grand Bank Distr., Grand Bank [placekey:9428] (total:16)"
"Crustacea, General Invertebrate",CMNC 1984-0087,Stewart 1980 109,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:3) | North America: Canada, Newfoundland and Labrador, Grand Bank Distr., Grand Bank [placekey:9428] (total:26) | Atlantic Ocean: Northwest Atlantic Ocean [placekey:25142] (total:1)"
Crustacea,ELB 1977 B06a,ELB 1977 B06a,,"North America: Canada, British Columbia, Victoria Land Distr. [placekey:303] (total:7) | North America: Canada, British Columbia, Victoria Land Distr., Trial Is. [placekey:27796] (total:8) | North America: Canada, British Columbia, Victoria Land Distr., Oak Bay [placekey:849] (total:15)"
"Crustacea, General Invertebrate, Mollusc",CMNML 000584,Dawson 1885 FreshwaterBay,,"North America: Canada, British Columbia [placekey:3] (total:27) | North America: Canada, British Columbia, Queen Charlotte Islands Land Distr. [placekey:24243] (total:3) | North America: Canada, British Columbia, Range 1 Coast Land Distr., Swanson I. [placekey:24642] (total:3)"
Lichen,Brodo-G29659-29692,Brodo-G29659-29692-Kejimkujic Nat. Park(NS),,"North America: Canada, Nova Scotia, Kejimkujik National Park [placekey:12939] (total:25) | North America: Canada, Nova Scotia, Queens Co. (NS) [placekey:9132] (total:2)"
"Crustacea, General Invertebrate",CMNC 1984-0096,Stewart 1980 48,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:9) | North America: Canada, Newfoundland and Labrador, Grand Bank Distr., Grand Bank [placekey:9428] (total:18)"
