speckey,xxScientific Name,Taxonomic System
500129,xxLobeliaceae,Botany
500136,xxPsilotum,Botany
500171,xxRanunculus flammula var. reptans,Botany
500172,xxViola pallens,Botany
500198,xxBryoria spiralifera,Botany
501026,xxCallistopteris,Botany
502895,xxRhodiola rosea var. integrifolia,Botany
502949,xxPapaver keelei,Botany
503037,xxBryoria pseudocapillaris,Botany
503181,xxPrimula,Botany
1007546,xxAndreaea crassinervia,Botany
1007684,xxPhyscomitrium pygmaeum,Botany
1008770,xxOrthothecium rufescens,Botany
1009797,xxDicranum angustum,Botany
1008453,xxDrepanocladus latifolius,Botany
1008455,xxDrepanocladus lycopodioides var. brevifolius,Botany
1009716,xxCampylopus subulatus var. schimperi,Botany
1010110,xxSchistidium,Botany
1008481,xxHygrohypnum molle,Botany
1010153,xxGrimmia torngakiana,Botany
1009276,xxEncalypta affinis var. macounii,Botany
1009282,xxEncalypta intermedia,Botany
1009981,xxFissidens clebschii,Botany
1009546,xxPottia truncata var. major,Botany
1008073,xxBryum pendulum,Botany
1009857,xxTrematodon boasii,Botany
1009314,xxAnoectangium incurvans,Botany
1009317,xxAnoectangium obtusifolium,Botany
1008995,xxLescuraea radicosa var. radicosa f. holzingeri,Botany
1074656,xxPseudocyphellaria mougeotiana,Botany
1074092,xxPannaria pezizoides,Botany
1074591,xxTuckermannopsis aurescens,Botany
1074601,xxTuckermannopsis fendleri,Botany
1078247,xxDeparia japonica,Botany
1071357,xxAgrestia hispida,Botany
1073595,xxLempholemma myriococcum,Botany
1074462,xxPhysconia kurokawae,Botany
1074471,xxPhytoconis ericetorum,Botany
1078975,xxPolypodium pectinatum,Botany
1078979,xxPolypodium plumula,Botany
1078986,xxPolypodium sororium,Botany
1079910,xxDelphinium chamissonis,Botany
1078969,xxPolypodium decumanum,Botany
1078970,xxPolypodium dispersum,Botany
1080600,xxCeltis occidentalis var. occidentalis,Botany
1080601,xxCeltis occidentalis var. pumila,Botany
1079700,xxActaea rubra subsp. rubra,Botany
1079723,xxAnemone multifida var. globosa,Botany
