taxvarkey,speckey,xxScientific Name,Taxonomic System
199,1077328,xxAmphisbaenia,Zoology
201,1076510,xxPetropedetidae,Zoology
205,1076763,xxCheloniidae,Zoology
206,1076776,xxDermochelyidae,Zoology
208,1076794,xxPelomedusidae,Zoology
209,1076800,xxChelidae,Zoology
210,1076809,xxSphenodontidae,Zoology
213,1076956,xxAgamidae,Zoology
214,1076982,xxChamaeleonidae,Zoology
216,1077101,xxTeiidae,Zoology
217,1077143,xxLacertidae,Zoology
218,1077159,xxCordylidae,Zoology
222,1077278,xxHelodermatidae,Zoology
228,1077334,xxBoidae,Zoology
229,1077403,xxAniliidae,Zoology
231,1077405,xxTropidophiidae,Zoology
233,1077412,xxBolyeriidae,Zoology
234,1077416,xxLeptotyphlopidae,Zoology
236,1077424,xxTyphlopidae,Zoology
241,1077810,xxViperinae,Zoology
242,1077828,xxCrotalinae,Zoology
252,1077826,xxDaboia,Zoology
254,1076656,xxChelydra,Zoology
255,1077545,xxColubrinae,Zoology
257,1077683,xxNatricinae,Zoology
258,1077500,xxLycodontinae,Zoology
261,1077786,xxAcanthophiinae,Zoology
263,1077769,xxElapinae,Zoology
264,1077798,xxHydrophiinae,Zoology
265,1077794,xxLaticaudinae,Zoology
267,1077789,xxMicrurinae,Zoology
269,1077549,xxColuber,Zoology
272,1077606,xxOpheodrys,Zoology
278,1076684,xxChrysemys,Zoology
520,1100208,xxPlantaginaceae,Botany
60,1088544,xxRosaceae,Botany
64,1080507,xxFumariaceae,Botany
65,1083129,xxPolygonaceae,Botany
68,1084701,xxDroseraceae,Botany
80,1147466,xxSelaginellaceae,Botany
82,1147434,xxIsoetaceae,Botany
131,1080510,xxCorydalis,Botany
196,1076808,xxRhynchocephalia,Zoology
715,1148078,xxOsmundaceae,Botany
732,1077912,xxAdiantum,Botany
740,1077955,xxCheilanthes,Botany
753,1148275,xxEriosorus,Botany
786,1148347,xxPellaea,Botany
1061,1075841,xxMulticlavula,Botany
2636,1100182,xxHippuridaceae,Botany
2641,1087437,xxDiapensiaceae,Botany
2643,1087438,xxDiapensia,Botany
2651,1083957,xxPlumbaginaceae,Botany
2660,1087826,xxCrassulaceae,Botany
2699,1080384,xxPapaveraceae,Botany
2979,1087611,xxPrimulaceae,Botany
72070,1147233,xxGinkgoaceae,Botany
68367,1169468,xxPhrynosoma cornutum frontale,Zoology
69717,500797,xxCryptogramma,Botany
83064,1096454,xxStrychnos,Botany
193427,1008415,xxAmblystegium riparium v. riparium,Botany
192557,1085454,xxSalix brachycarpa ssp. brachycarpa v. fullertonensis,Botany
192799,1008448,xxDrepanocladus fluitans v. uncatus,Botany
150695,1092639,xxMyrtales,Botany
137177,1076652,xxSternotherus,Zoology
137189,1076699,xxEmydoidea,Zoology
137191,1076689,xxClemmys,Zoology
137194,1076694,xxClemmys marmorata,Zoology
137202,1076777,xxDermochelys,Zoology
137206,1076764,xxCaretta,Zoology
137210,1076708,xxMalaclemys,Zoology
137220,1076910,xxPhrynosoma douglassi brevirostre,Zoology
137221,1076886,xxIguana,Zoology
137235,1077389,xxCharina,Zoology
137249,1077710,xxRegina,Zoology
137256,1077462,xxDiadophis,Zoology
137260,1077467,xxHypsiglena,Zoology
137262,1077442,xxHeterodon,Zoology
137279,1077878,xxSistrurus,Zoology
137362,1155024,xxLittorinidae,Zoology
147274,1085222,xxMomordica,Botany
150848,1093320,xxMelastomataceae,Botany
145395,1087451,xxEbenales,Botany
141185,1106027,xxGamochaeta,Botany
145408,1087452,xxSapotaceae,Botany
142858,1098512,xxLamiales,Botany
142859,1098518,xxBoraginaceae,Botany
143010,1099092,xxVerbenaceae,Botany
156961,1147232,xxGinkgoales,Botany
157834,1078594,xxHistiopteris,Botany
165197,1129399,xxCrucibulum,Zoology
165200,1129474,xxCerithiopsis,Zoology
154757,1095101,xxMeliaceae,Botany
174274,1076131,xxAmphiuma,Zoology
173927,1163492,xxShastasaurus,Zoology
156340,1008832,xxRhytidiadelphus,Botany
156394,1008287,xxPaludella,Botany
