id_number,label_name,taxon_link,ident,id_date,type_status,higher_taxa,count,sex,coll_num,collector,place_collected,date_collected,spec_nature,description,acq_number,site_desc,altitude,lat,long,site_notes,home_loc
CMNA 2017-0467,Aricidea (Aricidea) albatrossae,Aricidea (Aricidea) albatrossae,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Orbiniida; Paraonidae; Aricidea; Aricidea (Aricidea),4,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-31,fluid,,"",Amundsen Gulf - centre - east of CA-20,"",70.598683,-121.283683,,
CMNA 2017-0468,Maldane sarsi,Maldane sarsi,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Capitellida; Maldanidae; Maldaninae; Maldane,6,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-31,fluid,,"",Amundsen Gulf - centre - east of CA-20,"",70.598683,-121.283683,,
CMNA 2017-0469,Ophelina cylindricaudata,Ophelina cylindricaudata,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Opheliida; Opheliidae; Ophelina,5,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-31,fluid,,"",Amundsen Gulf - centre - east of CA-20,"",70.598683,-121.283683,,
CMNA 2017-0470,Notomastus,Notomastus,,"",,Animalia; Annelida; Polychaeta; Capitellida; Capitellidae,11,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-31,fluid,,"",Amundsen Gulf - centre - east of CA-20,"",70.598867,-121.283083,,
CMNA 2017-0471,Scoletoma impatiens,Lumbrineris impatiens,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Eunicida; Eunicea; Lumbrineridae; Lumbrineris,4,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-26,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.403333,-126.761667,,
CMNA 2017-0472,Micronephthys minuta,Micronephthys minuta,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Phyllodocida; Phyllodociformia; Nephtyidacea; Nephtyidae; Micronephthys,1,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-26,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.403333,-126.761667,,
CMNA 2017-0473,Nothria conchylega,Nothria conchylega,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Eunicida; Eunicea; Onuphidae; Hyalinoeciinae; Nothria,1,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-26,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.403333,-126.761667,,
CMNA 2017-0474,Amage auricula,Amage auricula,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Terebellida; Ampharetidae; Ampharetinae; Amage,4,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-26,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.403333,-126.761667,,
CMNA 2017-0475,Melinna cf cristata + cf elisabethae,Melinna,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Terebellida; Ampharetidae; Melinninae,2,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-26,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.403333,-126.761667,,
CMNA 2017-0476,Tharyx cf kirkegaardi + cf marioni,Tharyx,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Spionida; Cirratuliformia; Cirratulidae,1,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-26,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.403333,-126.761667,,
CMNA 2017-0477,Aricidea (Aricidea) albatrossae,Aricidea (Aricidea) albatrossae,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Orbiniida; Paraonidae; Aricidea; Aricidea (Aricidea),3,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-26,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.403333,-126.761667,,
CMNA 2017-0478,Maldane sarsi,Maldane sarsi,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Capitellida; Maldanidae; Maldaninae; Maldane,32,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-26,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.403333,-126.761667,,
CMNA 2017-0479,Nicomache sp a,Nicomache,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Capitellida; Maldanidae; Nicomachinae,1,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-26,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.403333,-126.761667,,
CMNA 2017-0480,Scoletoma tenuis,Lumbrineris tenuis,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Eunicida; Eunicea; Lumbrineridae; Lumbrineris,1,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-27,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.412883,-126.814167,,
CMNA 2017-0481,Micronephthys minuta,Micronephthys minuta,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Phyllodocida; Phyllodociformia; Nephtyidacea; Nephtyidae; Micronephthys,1,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-27,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.412883,-126.814167,,
CMNA 2017-0482,Mystides borealis,Mystides borealis,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Phyllodocida; Phyllodociformia; Phyllodocidacea; Phyllodocidae; Mystides,1,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-27,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.412883,-126.814167,,
CMNA 2017-0483,Nereimyra punctata,Nereimyra punctata,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Phyllodocida; Nereidiformia; Hesionidae; Nereimyra,1,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-27,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.412883,-126.814167,,
CMNA 2017-0484,Nothria conchylega,Nothria conchylega,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Eunicida; Eunicea; Onuphidae; Hyalinoeciinae; Nothria,2,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-27,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.412883,-126.814167,,
CMNA 2017-0485,Pholoe minuta,Pholoe minuta,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Phyllodocida; Aphroditiformia; Aphroditacea; Pholoidae; Pholoe,1,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-27,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.412883,-126.814167,,
CMNA 2017-0486,Schistomeringos rudolphi,Schistomeringos rudolphi,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Eunicida; Eunicea; Dorvilleidae; Schistomeringos,1,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-27,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.412883,-126.814167,,
CMNA 2017-0487,Ampharete cf baltica + cf vega,Ampharete,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Terebellida; Ampharetidae; Ampharetinae,7,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-27,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.412883,-126.814167,,
CMNA 2017-0488,Ampharetidae,Ampharetidae,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Terebellida,4,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-27,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.412883,-126.814167,,
CMNA 2017-0489,Diplocirrus longisetosus,Diplocirrus longisetosus,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Flabelligerida; Flabelligeridae; Diplocirrus,1,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-27,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.412883,-126.814167,,
CMNA 2017-0490,Euchone papillosa,Euchone papillosa,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Sabellida; Sabellidae; Fabriciinae; Euchone,2,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-27,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.412883,-126.814167,,
CMNA 2017-0491,Prionospio cf cirrifera + cf steenstrupi,Prionospio,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Spionida; Spioniformia; Spionidae,5,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-27,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.412883,-126.814167,,
CMNA 2017-0492,Sabellidae,Sabellidae,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Sabellida,4,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-27,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.412883,-126.814167,,
CMNA 2017-0493,Terebellidae,Terebellidae,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Terebellida,4,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-27,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.412883,-126.814167,,
CMNA 2017-0494,Terebellides stroemii,Terebellides stroemii,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Terebellida; Trichobranchidae; Terebellides,2,,"","McClelland, Christine",Arctic Ocean: Beaufort Sea,2003-10-27,fluid,,"",Amundsen Gulf - centre - near CA-05,"",71.412883,-126.814167,,
CMNA 2017-0427,Clymenura,Clymenura,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Capitellida; Maldanidae; Euclymeninae,1,,"","Archambault, Philippe",Arctic Ocean: Beaufort Sea,2003-10-6,fluid,,"",Mackenzie Canyon,"",69.93735,-138.5053,,
CMNA 2017-0428,Capitellidae cf Heteromastus + cf Mediomastus,Capitellidae,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Capitellida,1,,"","Archambault, Philippe",Arctic Ocean: Beaufort Sea,2003-10-6,fluid,,"",Mackenzie Canyon,"",69.93735,-138.5053,,
CMNA 2017-0429,Maldane sarsi,Maldane sarsi,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Capitellida; Maldanidae; Maldaninae; Maldane,2,,"","Archambault, Philippe",Arctic Ocean: Beaufort Sea,2003-10-6,fluid,,"",Mackenzie Canyon,"",69.93735,-138.5053,,
CMNA 2017-0430,Ophelina cylindricaudata,Ophelina cylindricaudata,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Opheliida; Opheliidae; Ophelina,1,,"","Archambault, Philippe",Arctic Ocean: Beaufort Sea,2003-10-6,fluid,,"",Mackenzie Canyon,"",69.93735,-138.5053,,
CMNA 2017-0431,Syllis cornuta,Ehlersia cornuta,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Phyllodocida; Nereidiformia; Syllidae; Syllinae; Ehlersia,3,,"","Archambault, Philippe",Arctic Ocean: Beaufort Sea,2003-10-6,fluid,,"",Mackenzie Canyon,"",69.937983,-138.505533,,
CMNA 2017-0432,Eunoe barbata,Eunoe barbata,"Conlan, Kathleen E.","",,Animalia; Annelida; Polychaeta; Phyllodocida; Aphroditiformia; Aphroditacea; Polynoidae; Harmothoinae; Eunoe,2,,"","Archambault, Philippe",Arctic Ocean: Beaufort Sea,2003-10-6,fluid,,"",Mackenzie Canyon,"",69.937983,-138.505533,,
