id,language,site_id,site_type,site_name,environment,description,site_date,location,location_accuracy,start_latitude,start_longitude,end_latitude,end_longitude,utm_start,utm_end,start_latitude_dec,start_longitude_dec,end_latitude_dec,end_longitude_dec,decimal_is_primary,coord_uncertainty,coord_uncertainty_verb,uncertainty_unit,georef_status,georef_source,geodetic_datum,measurements,elevation,topography,ecological_zones,vegetation,disturbance_factors,condition,owner,register_status,archaeological_status,jurisdiction,site_designation,research_activity,recommendations,note,publish,option1,option2,flag1,flag2,sort_prefix,sort1,sort2,sort3,sort4,sort5,create_date,created_by,update_date,updated_by
1317,eng,L 11319,,"L 11319: NWT, Alert",,"Northeastern Ellesmere Island, in the vicinity of Alert.",,"North America: Canada; Northwest Territories, Ellesmere Island",primary,82° 24' N,62° 0' W,82° 32' N,64° 30' W,,,82.4,-62.0,82.533333,-64.5,false,,,,,,,,,,,,,,,,,,,,,,true,,,false,false,L,011319,000000,000000,000000,000000,1998-10-09 00:00:00 UTC,PYWONG,2016-07-28 15:54:19 UTC,XGVIEWS
1687,eng,L 28947,,"L 28947: NWT, Rambow Hill",,"(Quttinirpaaq National Park). Marvin Peninsula, lake west of Rambow Hill. Jasper Lake, ca. 10 m.",,"North America: Canada; Northwest Territories, Ellesmere Island",primary,82° 58' N,75° 24' W,83° 0' N,75° 33' W,,,82.966667,-75.4,83.0,-75.55,false,,,,,,,,,,,,,,,,,,,,,,true,,,false,false,L,028947,000000,000000,000000,000000,1998-11-04 00:00:00 UTC,PYWONG,2016-07-28 15:54:21 UTC,XGVIEWS
1952,eng,L 15660,,"L 15660: NWT, Ellesmere Island",,Northeastern Ellesmere Island. Near Quttinirpaaq National Park Reserve,,"North America: Canada; Northwest Territories, Ellesmere Island",primary,82° 24' N,62° 0' W,82° 32' N,64° 30' W,,,82.4,-62.0,82.533333,-64.5,false,,,,,,,,,,,,,,,,,,,,,,true,,,false,false,L,015660,000000,000000,000000,000000,1998-11-12 00:00:00 UTC,PYWONG,2016-07-28 15:54:21 UTC,XGVIEWS
2437,eng,L 56116,,"L 56116: Nfld, Kangalaksiorvik Fiord",,Kangalaksiorvik Fiord. Plot 22.,,"North America: Canada; Newfoundland & Labrador, Labrador North District",primary,59° 21' N,64° 5' W,59° 23' N,64° 7' W,,,59.35,-64.083333,59.383333,-64.116667,false,,,,,,,,,,,,,,,,,,,,,,true,,,false,false,L,056116,000000,000000,000000,000000,1998-11-26 00:00:00 UTC,PYWONG,2016-07-28 15:54:20 UTC,XGVIEWS
2571,eng,L 28926,,"L 28926: NWT, Ward Hunt Island",,Quttinirpaaq National Park. Ward Hunt Island.,,,primary,83° 4' N,74° 0' W,83° 6' N,74° 25' W,,,83.066667,-74.0,83.1,-74.416667,false,,,,,,,,200 m.,,,,,,,,,,,,,,true,,,false,false,L,028926,000000,000000,000000,000000,1998-12-16 00:00:00 UTC,PYWONG,2016-07-28 15:54:20 UTC,XGVIEWS
2572,eng,L 28915,,"L 28915: NWT, Ward Hunt Island",,Quttinirpaaq National Park. Ward Hunt Island.,,,primary,83° 4' N,74° 0' W,83° 6' N,74° 25' W,,,83.066667,-74.0,83.1,-74.416667,false,,,,,,,,150 m.,,,,,,,,,,,,,,true,,,false,false,L,028915,000000,000000,000000,000000,1998-12-16 00:00:00 UTC,PYWONG,2016-07-28 15:54:21 UTC,XGVIEWS
2769,eng,L 16404,,"L 16404: NWT, Ellesmere Island",,Northeastern Ellesmere Island. Quttinirpaaq National Park Reserve,,"North America: Canada; Northwest Territories, Franklin District",primary,82° 24' N,62° 0' W,82° 32' N,64° 30' W,,,82.4,-62.0,82.533333,-64.5,false,,,,,,,,,,,,,,,,,,,,,,true,,,false,false,L,016404,000000,000000,000000,000000,1999-01-07 00:00:00 UTC,PYWONG,2016-07-28 15:54:19 UTC,XGVIEWS
2782,eng,L 16594,,"L 16594: NWT, Ellesmere Island",,Northeastern Ellesmere Island. Quttinirpaaq National Park Reserve,,"North America: Canada; Northwest Territories, Franklin District",primary,82° 24' N,62° 0' W,82° 32' N,64° 30' W,,,82.4,-62.0,82.533333,-64.5,false,,,,,,,,,,,,,,,,,,,,,,true,,,false,false,L,016594,000000,000000,000000,000000,1999-01-07 00:00:00 UTC,PYWONG,2016-07-28 15:54:19 UTC,XGVIEWS
2787,eng,L 16406,,"L 16406: NWT, Ellesmere Island",,Northeastern Ellesmere Island. Quttinirpaaq National Park Reserve,,"North America: Canada; Northwest Territories, Franklin District",primary,82° 24' N,62° 0' W,82° 32' N,64° 30' W,,,82.4,-62.0,82.533333,-64.5,false,,,,,,,,,,,,,,,,,,,,,,true,,,false,false,L,016406,000000,000000,000000,000000,1999-01-07 00:00:00 UTC,PYWONG,2016-07-28 15:54:21 UTC,XGVIEWS
2789,eng,L 16418,,"L 16418: NWT, Ellesmere Island",,Northeastern Ellesmere Island. Quttinirpaaq National Park Reserve,,"North America: Canada; Northwest Territories, Franklin District",primary,82° 24' N,62° 0' W,82° 32' N,64° 30' W,,,82.4,-62.0,82.533333,-64.5,false,,,,,,,,,,,,,,,,,,,,,,true,,,false,false,L,016418,000000,000000,000000,000000,1999-01-07 00:00:00 UTC,PYWONG,2016-07-28 15:54:19 UTC,XGVIEWS
3765,eng,CAN 483605,,CAN 483605-Lake Hazen(NU),terrestrial,Quttinirpaaq National Park Reserve. McGill Mountain. Vicinity of Lake Hazen. At base of McGill Mountain facing Lake Hazen.,,"North America: Canada; Northwest Territories, Ellesmere Island",secondary(LL); NAD83(LL); <10 km,81° 50' N,71° 31' W,8210--N W,72° 45' ,,,81.833333,-71.516667,,-72.75,false,10.0,<10 km,km,,,NAD83,,1500',,,,,,,,"""Operation Hazen""",,,,On steep rocky slope.,"Region: Qikiqtaaluk; Site Name: Base of McGill Mountain, facing Lake Hazen, at 1500 ft (450), Ellesmere Island; Source: Atlas of Canada, Natural Resources Canada http://atlas.nrcan.gc.ca/site/english/index.html",true,,,false,false,CAN,483605,000000,000000,000000,000000,1999-02-16 00:00:00 UTC,MBOUCHARD,2016-08-17 15:12:56 UTC,XGVIEWS
