id_number,label_name,taxon_link,ident,id_date,type_status,higher_taxa,count,sex,coll_num,collector,place_collected,date_collected,spec_nature,description,acq_number,site_desc,altitude,lat,long,site_notes,home_loc
CAN 105578,Antennaria rosea var. arida,Antennaria rosea,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,633,"Porsild, Morten P.","North America: Canada, Yukon Territory",1947-07-30,dry,,"",,,,,,
CAN 105579,Antennaria rosea var. arida,Antennaria rosea,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,733,"Porsild, Morten P.","North America: Canada, Yukon Territory",1947-08-14,dry,,"",,,,,,
CAN 105580,Antennaria rosea var. arida,Antennaria rosea,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria,1,,353,"Clarke, Charles H.D.","North America: Canada, Yukon Territory",1943-07-24,dry,,"",,,,,,
CAN 105584,Antennaria incarnata,Antennaria rosea subsp. confinis,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria rosea,1,,10445,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Rose Riv.",1944-07-12,dry,,"","Canol Road: Mile 95, Upper Rose River valley.",1097.28 m,61.5,-133.083333,Gravelly outwash plain.,
CAN 105585,Antennaria incarnata Porsild,Antennaria incarnata Porsild,,"",HOLOTYPE,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria rosea,1,,10412,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Canol Road (YK)",1944-07-11,dry,,"",Mile 95.  Upper Rose River valley.  Elev. 3600'.,1097.28 m,61.5,-133.083333,Turfy river terraces.,
CAN 105588,Antennaria breitungii Porsild,Antennaria breitungii Porsild,"Porsild, A. Erling",1947,HOLOTYPE,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria rosea,1,,9229,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Whitehorse",1944-06-01; 1944-06-05,dry,,"",E of Lewes River.  Elev. 2100-2400'.,640.08-731.52 m,60.716667,-135.05,Sandy and shaly bluffs and hillsides.  Open sandy pine flat.,
CAN 105589,Antennaria breitungii,Antennaria rosea subsp. confinis,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria rosea,1,,9513,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Kluane Lake",1944-07-25,dry,,"","Lake Kluane, South end of. Near Kluane National Park and Reserve.","",61.033333,-138.383333,Sandy flat,
CAN 105590,Antennaria breitungii,Antennaria rosea subsp. confinis,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria rosea,1,,9596,"Anderson, J.P.","North America: Canada, Yukon Territory, Whitehorse",1944-07-30,dry,,"",,"",60.716667,-135.05,Dry hillside,
CAN 105591,Antennaria breitungii,Antennaria rosea subsp. confinis,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria rosea,1,,9493,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Lapie Riv.",1944-06-14,dry,,"",Canol Road: Lower Lappie Crossing  Mile 132.,"",61.833333,-132.5,"Dry, shaly slopes of mountain west of road.",
CAN 105592,Antennaria breitungii,Antennaria rosea subsp. confinis,,"",,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Antennaria; Antennaria rosea,1,,9451,"Porsild, A. Erling; Breitung, August J.J.","North America: Canada, Yukon Territory, Lapie Riv.",1944-06-12,dry,,"",Canol Road: Lower Lappie R. Crossing  Mile 132.,"",61.833333,-132.5,"Dry, shaly slopes of mountain west of road.",
