id,mkey,prior_name,tna_type,item_name,attrib_type,attributor,attrib_date,attrib_source,certainty,attrib_comment,note
853757,715133,false,item name; associated species,Aneura pinguis,,unknown attributor,,,,,,
853773,715146,true,item name; associated species,Myurella julacea,,"Williams, H.",,,,,,
853774,715146,true,item name; associated species,Campylium,,"Williams, H.",,,,,,
853811,715175,true,item name; associated species,Plagiochila asplenioides,,R.F.C.,,,,,,
853812,715175,true,item name; associated species,Amphidium lapponicum,,R.F.C.,,,,,,
853834,715191,true,item name; associated species,Plagiochila asplenioides,,"Williams, H.",,,,,,
853835,715191,true,item name; associated species,Tritomaria quinquedentata,,"Williams, H.",,,,,,
853837,715191,false,item name; associated species,Chiloscyphus minor,,,,,,,,
853842,715195,false,item name; associated species,Myurella sibirica,,,,,,,,
853848,715198,true,item name; associated species,Tritomaria quinquedentata,,"Ley, Linda M.",1987,,,,,
853858,715202,false,item name; associated species,Blepharostoma trichophyllum,,"Ley, Linda M.",1983,,,Revision,,
838140,28339,false,item name; associated species,Tortella fragilis,,"Eckel, Patricia M.",1995 - 1996,,,,,
854613,715738,false,item name; associated species,Calypogeia sphagnicola,,"Ley, Linda M.",1982,,,,,
854621,715745,false,item name; associated species,Lophozia ventricosa,,unknown attributor,,,,,,
854622,715745,false,item name; associated species,Blepharostoma trichophyllum,,unknown attributor,,,,,,
854624,715746,false,item name; associated species,Cephalozia lunulifolia,,unknown attributor,,,,,,
854627,715748,false,item name; associated species,Cephalozia lunulifolia,,unknown attributor,,,,,,
854628,715748,false,item name; associated species,Blepharostoma trichophyllum,,unknown attributor,,,,,,
854631,715750,false,item name; associated species,Lophozia ventricosa,,unknown attributor,,,,,,
854632,715750,false,item name; associated species,Barbilophozia hatcheri,,unknown attributor,,,,,,
854635,715752,false,item name; associated species,Lophozia incisa,,unknown attributor,,,,,,
854636,715752,false,item name; associated species,Blepharostoma trichophyllum,,unknown attributor,,,,,,
854638,715753,false,item name; associated species,Lophozia ventricosa,,unknown attributor,,,,,,
854647,715757,false,item name; associated species,Cephalozia pleniceps,,"Conklin, Geo. H.",,,,,,
854648,715757,false,item name; associated species,Leiocolea gillmanii,,,,,,,,
854653,715759,true,item name; associated species,Jamesoniella autumnalis,revision,"Brinkman, Alfred H.",1928-02,,,,,
854658,715761,false,item name; associated species,Lophozia guttulata,,,,,,,,
854661,715762,false,item name; associated species,Lophozia guttulata,,,,,,,,
856246,716759,false,item name; associated species,Chiloscyphus profundus,,,,,,,,
856248,716759,false,item name; associated species,Ptilidium pulcherrimum,,unknown attributor,,,,,,
856259,716767,false,item name; associated species,Tritomaria exsectiformis,,"Ley, Linda M.",1983,,,Revision by Linda M. Ley 1983,,
856266,716772,false,item name; associated species,Lepidozia reptans,,"Ley, Linda M.",1983,,,,,
856267,716772,false,item name; associated species,Blepharostoma trichophyllum,,"Ley, Linda M.",1983,,,,,
856271,716776,false,item name; associated species,Tritomaria quinquedentata,,"Crowe, J.",,,,,,
856273,716777,false,item name; associated species,Blepharostoma trichophyllum,,"Crowe, J.",,,,,,
856274,716777,false,item name; associated species,Cephalozia lunulifolia,,,,,,,,
856277,716778,false,item name; associated species,Tritomaria exsectiformis,,"Crowe, J.",,,,,,
856645,716960,false,item name; associated species,Ptilidium pulcherrimum,,"Williams, H.",1967-03-29,,,c.fr.,,
843776,707785,true,item name; associated species,Rhabdoweisia crispata,,unknown attributor,,,,,,
853378,714876,true,item name; associated species,Nardia,,unknown attributor,,,,,,
853382,714879,true,item name; associated species,Nardia,,"Conklin, Geo. H.",,,,,,
854956,715925,false,item name; associated species,Nowellia curvifolia,,unknown attributor,,,,,,
854957,715925,false,item name; associated species,Jamesoniella autumnalis,,unknown attributor,,,,,,
854958,715925,false,item name; associated species,Riccardia latifrons,,unknown attributor,,,,,,
854961,715926,false,item name; associated species,Nowellia curvifolia,,"Schuster, Rudolph M.",,,,,,
854962,715926,false,item name; associated species,Blepharostoma trichophyllum,,"Schuster, Rudolph M.",,,,,,
854963,715926,false,item name; associated species,Ptilidium pulcherrimum,,"Schuster, Rudolph M.",,,,,,
854979,715934,false,item name; associated species,Barbilophozia kunzeana,,,,,,,,
854989,715941,false,item name; associated species,Marchantia polymorpha,,"Hong, W.S.",1968,,,,,
854991,715942,false,item name; associated species,Tritomaria quinquedentata,,unknown attributor,,,,,,
854996,715943,false,item name; associated species,Dicranum fuscescens,,,1952-01-17,,,"JK, M'Cl, & Ret. [? hard to read] 17/ I /52.",,
857569,718071,false,item name; associated species,Cephalozia connivens,,"Ley, Linda M.",1979,,,,,
