speckey,Scientific Name,Parent,Level Name,Author/Date
1146731,xxRhytidium rugosum,1146730,SPECIES,(Ehrhart) Kindb.
1146756,xxSphagnum recurvum,1146739,SPECIES,
1146765,xxSphagnum wulfianum,1146739,SPECIES,Girgens
1146523,xxAnacamptodon splachnoides,1146522,SPECIES,(Frohl.) Brid.
1146507,xxEncalypta ciliata,1146504,SPECIES,(Hedw.) Hoffm.
1146509,xxEncalypta sp.,1146504,SPECIES,
1146534,xxFontinalis antipyretica,1146533,SPECIES,L.
1146535,xxFontinalis hypnoides,1146533,SPECIES,Hart.
1146543,xxPhyscomitrella patens,1146542,SPECIES,(Hedw.) Bruch & Schimp
1146552,xxGrimmia pulvinata,1146549,SPECIES,(L.) Sm.
1146579,xxHypnum sp.,1008718,SPECIES,
1146583,xxOrthothecium strictum,1146580,SPECIES,
1146620,xxMeesia triquetra,1146615,SPECIES,(L.) Angstr.
1146379,xxEurhynchium speciosum,1008644,SPECIES,(Brid.) Jur.
1146627,xxCinclidium arcticum,1146626,SPECIES,
1146632,xxCinclidium stygium,1146626,SPECIES,Sm.
1146644,xxNeckera crispa,1146643,SPECIES,(L.) Hedw.
1146363,xxPhilonotis sp.,1146360,SPECIES,
1146368,xxBrachythecium sp.,1146367,SPECIES,
1146381,xxHomalothecium lutescens,1146380,SPECIES,(Huds.) Nyholm
1146696,xxGymnostomum,1146259,GENUS,
1146702,xxPottia lanceolata,1146700,SPECIES,(Hedw.) Mull.
1146408,xxBryum sp.,1146399,SPECIES,
1146419,xxPohlia sp.,1146415,SPECIES,
1146439,xxDicranum sp.,1146438,SPECIES,
1146470,xxTrematodon ambiguus,1146469,SPECIES,(Hedw.) Hornsch.
1146287,xxCalliergon trifarium,1146279,SPECIES,(Web. & Mohr) Kindb.
1147312,xxRiccardia,1147311,GENUS,
