id_number,measurements
CMNMA 10099,Tail: 125 mm;  Hind foot: 47 mm
CMNMA 10121,Tail: 118 mm;  Hind foot: 52 mm
CMNMA 10122,Tail: 121 mm;  Hind foot: 49 mm
CMNMA 10123,Tail: 134 mm;  Hind foot: 50 mm
CMNMA 10124,Tail: 113 mm;  Hind foot: 47 mm
CMNMA 10127,Tail: 128 mm;  Hind foot: 47 mm
CMNMA 10158,Tail: 124 mm;  Hind foot: 44 mm
CMNMA 10159,Tail: 125 mm;  Hind foot: 47 mm
CMNMA 10161,Tail: 124 mm;  Hind foot: 47 mm
CMNMA 10197,Tail: 130 mm;  Hind foot: 47 mm
CMNMA 10199,Tail: 125 mm;  Hind foot: 47 mm
CMNMA 10200,Tail: 116 mm;  Hind foot: 47 mm
CMNMA 10201,Tail: 118 mm;  Hind foot: 48 mm
CMNMA 10215,Tail: 129 mm;  Hind foot: 46 mm
CMNMA 10236,Tail: 125 mm;  Hind foot: 46 mm
CMNMA 10253,Tail: 121 mm;  Hind foot: 47 mm
CMNMA 10259,Tail: 114 mm;  Hind foot: 46 mm
CMNMA 10291,Tail: 115 mm;  Hind foot: 48 mm
CMNMA 10298,Tail: 120 mm;  Hind foot: 48 mm
CMNMA 10415,Tail: 118 mm;  Hind foot: 45 mm
CMNMA 10465,Tail: 122 mm;  Hind foot: 44 mm
CMNMA 10466,Tail: 122 mm;  Hind foot: 47 mm
CMNMA 10469,Tail: 119 mm;  Hind foot: 47 mm
CMNMA 10470,Tail: 102 mm;  Hind foot: 47 mm
CMNMA 10531,Tail: 121 mm;  Hind foot: 52 mm
CMNMA 10536,Tail: 105 mm;  Hind foot: 54 mm
CMNMA 10537,Tail: 134 mm;  Hind foot: 52 mm
CMNMA 10539,Tail: 132 mm;  Hind foot: 51 mm
CMNMA 10540,Tail: 126 mm;  Hind foot: 51 mm
CMNMA 10551,Tail: 125 mm;  Hind foot: 51 mm
CMNMA 10552,Tail: 132 mm;  Hind foot: 50 mm
CMNMA 10561,Tail: 130 mm;  Hind foot: 52 mm
CMNMA 10608,Tail: 122 mm;  Hind foot: 48 mm
CMNMA 10620,Tail: 135 mm;  Hind foot: 52 mm
CMNMA 10624,Tail: 138 mm;  Hind foot: 52 mm
CMNMA 10627,Tail: 142 mm;  Hind foot: 54 mm
CMNMA 10634,Tail: 134 mm;  Hind foot: 52 mm
CMNMA 10655,Tail: 115 mm;  Hind foot: 49 mm
CMNMA 10656,Tail: 126 mm;  Hind foot: 51 mm
CMNMA 10674,Tail: 129 mm;  Hind foot: 58 mm
CMNMA 10675,Tail: 127 mm;  Hind foot: 51 mm
CMNMA 10714,Tail: 123 mm;  Hind foot: 53 mm
CMNMA 10719,Tail: 130 mm;  Hind foot: 53 mm
CMNMA 10720,Tail: 132 mm;  Hind foot: 52 mm
CMNMA 10731,Tail: 122 mm;  Hind foot: 49 mm
CMNMA 10734,Tail: 115 mm;  Hind foot: 50 mm
CMNMA 10736,Tail: 130 mm;  Hind foot: 53 mm
CMNMA 10811,Tail: 93 mm;  Hind foot: 51 mm
CMNMA 10812,Tail: 115 mm;  Hind foot: 50 mm
CMNMA 10823,Tail: 135 mm;  Hind foot: 52 mm
CMNMA 10861,Tail: 125 mm;  Hind foot: 52 mm
CMNMA 10863,Tail: 118 mm;  Hind foot: 50 mm
CMNMA 10865,Tail: 125 mm;  Hind foot: 54 mm
CMNMA 10886,Tail: 126 mm;  Hind foot: 52 mm
CMNMA 11000,Tail: 119 mm;  Hind foot: 43 mm
CMNMA 11181,Tail: 116 mm;  Hind foot: 40 mm
CMNMA 11182,Tail: 129 mm;  Hind foot: 42 mm
CMNMA 11210,Tail: 120 mm;  Hind foot: 45 mm
CMNMA 11235,Tail: 104.1 mm;  Hind foot: 40.6 mm
CMNMA 11275,Tail: 120.7 mm;  Hind foot: 41.28 mm
CMNMA 11276,Tail: 120.7 mm;  Hind foot: 44.5 mm
CMNMA 11277,Tail: 114 mm;  Hind foot: 41.28 mm
CMNMA 11278,Tail: 121 mm;  Hind foot: 38 mm
CMNMA 11282,Tail: 130 mm;  Hind foot: 41.28 mm
CMNMA 11295,Tail: 113 mm;  Hind foot: 48 mm
CMNMA 11296,Tail: 113 mm;  Hind foot: 45 mm
CMNMA 11297,Tail: 116 mm;  Hind foot: 47 mm
CMNMA 11298,
CMNMA 11299,Tail: 115 mm;  Hind foot: 48 mm
CMNMA 11300,Tail: 118 mm;  Hind foot: 47 mm
CMNMA 11301,Tail: 98 mm;  Hind foot: 46 mm
CMNMA 11303,Tail: 114 mm;  Hind foot: 47 mm
CMNMA 11304,Tail: 116 mm;  Hind foot: 47 mm
CMNMA 11305,Tail: 118 mm;  Hind foot: 49 mm
CMNMA 11306,Tail: 114 mm;  Hind foot: 48 mm
CMNMA 11307,Tail: 116 mm;  Hind foot: 48 mm
CMNMA 11308,Tail: 121 mm;  Hind foot: 45 mm
CMNMA 11309,Tail: 113 mm;  Hind foot: 45 mm
CMNMA 11310,Tail: 102 mm;  Hind foot: 44 mm
CMNMA 11311,Tail: 114 mm;  Hind foot: 46 mm
CMNMA 11312,Tail: 104 mm;  Hind foot: 46 mm
CMNMA 11313,Tail: 111 mm;  Hind foot: 47 mm
CMNMA 11314,Tail: 112 mm;  Hind foot: 45 mm
CMNMA 11315,Tail: 119 mm;  Hind foot: 49 mm
CMNMA 11316,Tail: 117 mm;  Hind foot: 48 mm
CMNMA 11317,Tail: 113 mm;  Hind foot: 46 mm
CMNMA 11318,Tail: 109 mm;  Hind foot: 46 mm
CMNMA 11319,Tail: 116 mm;  Hind foot: 48 mm
CMNMA 11320,Tail: 105 mm;  Hind foot: 47 mm
CMNMA 11350,Tail: 124 mm;  Hind foot: 43 mm
CMNMA 11365,Tail: 133 mm;  Hind foot: 48 mm
CMNMA 11366,Tail: 132 mm;  Hind foot: 46 mm
CMNMA 11385,Tail: 115 mm;  Hind foot: 47 mm
CMNMA 11386,Tail: 111 mm;  Hind foot: 44 mm
CMNMA 11387,Tail: 116 mm;  Hind foot: 44 mm
CMNMA 11388,Tail: 118 mm;  Hind foot: 47 mm
CMNMA 11389,Tail: 121 mm;  Hind foot: 49 mm
CMNMA 11390,Tail: 111 mm;  Hind foot: 47 mm
CMNMA 11391,Tail: 133 mm;  Hind foot: 49 mm
CMNMA 11399,Tail: 97 mm;  Hind foot: 45 mm
CMNMA 11400,Tail: 123 mm;  Hind foot: 44 mm
CMNMA 11408,Tail: 168 mm;  Hind foot: 44 mm
CMNMA 11409,Tail: 120 mm;  Hind foot: 52 mm
CMNMA 11446,Tail: 140 mm;  Hind foot: 51 mm
CMNMA 11447,Tail: 130 mm;  Hind foot: 45 mm
CMNMA 11464,Tail: 120 mm;  Hind foot: 48 mm
CMNMA 11465,Tail: 90 mm;  Hind foot: 50 mm
CMNMA 11472,Tail: 128 mm;  Hind foot: 49 mm
CMNMA 11473,Tail: 127 mm;  Hind foot: 53 mm
CMNMA 11474,Tail: 86 mm;  Hind foot: 50 mm
CMNMA 11475,Tail: 140 mm;  Hind foot: 52 mm
CMNMA 11477,Tail: 117 mm;  Hind foot: 50 mm
CMNMA 11485,Tail: 124 mm;  Hind foot: 51 mm
CMNMA 11486,Tail: 118 mm;  Hind foot: 50 mm
CMNMA 11501,Tail: 130 mm;  Hind foot: 52 mm
CMNMA 11581,Tail: 100 mm;  Hind foot: 48 mm
CMNMA 11612,Tail: 116 mm;  Hind foot: 47 mm
CMNMA 11725,Tail: 130 mm;  Hind foot: 52 mm
CMNMA 11726,Tail: 126 mm;  Hind foot: 50 mm
CMNMA 11728,Tail: 88 mm;  Hind foot: 51 mm
CMNMA 11729,Tail: 90 mm;  Hind foot: 50 mm
CMNMA 11732,Tail: 127 mm;  Hind foot: 48 mm
CMNMA 11734,Tail: 146 mm;  Hind foot: 48 mm
CMNMA 11735,Tail: 124 mm;  Hind foot: 47 mm
CMNMA 11736,Tail: 129 mm;  Hind foot: 50 mm
CMNMA 11737,Tail: 105 mm;  Hind foot: 50 mm
CMNMA 11745,Tail: 122 mm;  Hind foot: 48 mm
CMNMA 11746,Tail: 121 mm;  Hind foot: 47 mm
CMNMA 11747,Tail: 119 mm;  Hind foot: 46 mm
CMNMA 11748,Tail: 105 mm;  Hind foot: 42 mm
CMNMA 11805,Tail: 134 mm;  Hind foot: 41 mm
CMNMA 11819,Tail: 81 mm;  Hind foot: 47 mm
CMNMA 11845,Tail: 119 mm;  Hind foot: 51 mm
CMNMA 11846,Tail: 120 mm;  Hind foot: 50 mm
CMNMA 11859,Tail: 130 mm;  Hind foot: 51 mm
CMNMA 11860,Tail: 120 mm;  Hind foot: 50 mm
CMNMA 11861,Tail: 128 mm;  Hind foot: 51 mm
CMNMA 11862,Tail: 86 mm;  Hind foot: 49 mm
CMNMA 11864,Tail: 128 mm;  Hind foot: 51 mm
CMNMA 11865,Tail: 75 mm;  Hind foot: 51 mm
CMNMA 11915,Tail: 86 mm;  Hind foot: 51 mm
CMNMA 11916,Tail: 130 mm;  Hind foot: 51 mm
