site_id,status
CMNFV 017218,missing other number CR-67-49
CMNFV 017220,missing other number CR-67-49
CMNFV 016614,missing other number LOC. 54
CMNFV 016615,missing other number LOC. 54
CMNFV 016616,missing other number LOC. 54
CMNFV 016617,missing other number LOC. 54
CMNFV 026065,missing other number #2 LOC. 1874
CMNFV 026067,missing other number #3 LOC. 367
CMNFV 027075,missing other number LOC. 32E
CMNFV 017142,missing other number LOC. 09
CMNFV 017143,missing other number LOC. 09
CMNFV 017144,missing other number LOC. 09
CMNFV 017145,missing other number LOC. 09
CMNFV 017146,missing other number LOC. 09
CMNFV 017147,missing other number LOC. 09
CMNFV 017148,missing other number LOC. 09
CMNFV 017149,missing other number LOC. 09
CMNFV 019754,missing other number GSC LOC. 8153
CMNFV 019746,missing other number GSC LOC. 81057
CMNFV 019951,missing other number GSC LOC. 19017
CMNFV 019952,missing other number GSC LOC. 19017
CMNFV 019953,missing other number GSC LOC. 19017
CMNFV 019954,missing other number GSC LOC. 19017
CMNFV 019955,missing other number GSC LOC. 19017
CMNFV 019957,missing other number GSC LOC. 19017
CMNFV 26107A,missing other number MKVI-9A-26
CMNFV 26107B,missing other number MKVI-9A-25
CMNFV 026109,missing other number MKVI-9A-16
CMNFV 026110,missing other number MKVI-9A-16
CMNFV 026114,missing other number MKVI-9A-15
CMNFV 017141,missing other number LOC. 09
CMNFV 017150,missing other number LOC. 09
CMNFV 017157,missing other number LOC. 09
CMNFV 017158,missing other number LOC. 09
CMNFV 017169(DELETED,missing other number CR-67-32(1)
CMNFV 017170,missing other number CR-67-32(1)
CMNFV 017171,missing other number CR-67-32(1)
CMNFV 017172,missing other number CR-67-32(1)
CMNFV 017173,missing other number CR-67-32(1)
CMNFV 017174,missing other number CR-67-32(2)
CMNFV 017180,missing other number CR-67-32(1)
CMNFV 017182,missing other number CR-67-32(1)
CMNFV 017183,missing other number CR-67-32(1)
CMNFV 017184,missing other number CR-67-32(1)
CMNFV 017185,missing other number CR-67-32(2)
CMNFV 017186,missing other number CR-67-32(1)
CMNFV 017187,missing other number CR-67-32(1)
CMNFV 017188,missing other number CR-67-32(2)
CMNFV 017189,missing other number CR-67-32(1)
CMNFV 017190,missing other number CR-67-32(2)
CMNFV 017191,missing other number CR-67-32(2)
CMNFV 017192,missing other number CR-67-32(2)
CMNFV 017193,missing other number CR-67-32(2)
CMNFV 017198,missing other number CR-67-32(2)
CMNFV 017199,missing other number CR-67-32(2)
CMNFV 017201,missing other number CR-67-32(1)
CMNFV 026113,missing other number MKVI-9A-15
CMNFV 026111,missing other number MKVI-9A-15
CMNFV 026112,missing other number MKVI-9A-15
CMNFV 026115,missing other number MKVI-9A-29
CMNFV 026119,missing other number MKVI-9A-30
CMNFV 026118,missing other number MKVI-9A-30
CMNFV 026116,missing other number MKVI-9A-30
CMNFV 026117,missing other number MKVI-9A-30
CMNFV 026128,missing other number MKVI-9A-24
CMNFV 026127,missing other number MKVI-9A-24
CMNFV 026126,missing other number MKVI-9A-24
CMNFV 026125,missing other number MK-9A-30
CMNFV 026121,missing other number MKVI-9A-17
CMNFV 026120,missing other number MKVI-9A-17
CMNFV 026122,missing other number MKVI-9A-17
CMNFV 026123,missing other number MKVI-9A-17
CMNFV 026124,missing other number MKVI-9A-17
CMNFV 026129,missing other number MKVI-9A-7
CMNFV 026130,missing other number MKVI-9A-7
CMNFV 026131,missing other number MKVI-9A-7
CMNFV 026132,missing other number MKVI-9A-7
CMNFV 026133,missing other number MKVI-9A-7
CMNFV 026134,missing other number MKVI-9A-7
CMNFV 017176,missing other number CR-67-32(1)
CMNFV 017177,missing other number CR-67-32(1)
CMNFV 017178,missing other number CR-67-32(2)
CMNFV 017179,missing other number CR-67-32(1)
CMNFV 026135,missing other number MKVI-9A-7
CMNFV 026136,missing other number MKVI-9A-7
CMNFV 026137,missing other number MKVI-9A-8
CMNFV 026139,missing other number MKVI-9A-8
CMNFV 026140,missing other number MKVI-9A-8
CMNFV 026141,missing other number MKVI-9A-8
CMNFV 026143,missing other number MKVI-9A-8
CMNFV 024785,missing other number LOC. 45
CMNFV 024786,missing other number LOC. 45
CMNFV 024787,missing other number LOC. 45
CMNFV 024789,missing other number LOC. 45
CMNFV 008749,missing other number 29-1912
CMNFV 008731,missing other number LOC. 05
CMNFV 008732,missing other number LOC. 10
CMNFV 008733,missing other number LOC. 10
CMNFV 008734,missing other number LOC. 10
CMNFV 008735,missing other number LOC. 10
CMNFV 025693,missing other number LOC. 44
CMNFV 025694,missing other number LOC. 44
CMNFV 025695,missing other number LOC. 44
CMNFV 025696,missing other number LOC. 44
CMNFV 008785,missing other number CMS-9-1937
CMNFV 008786,missing other number CMS-9-1937
CMNFV 016169,missing other number LOC. 45
CMNFV 017410,missing other number LOC. 1
CMNFV 008790,missing other number CMS-14-1937
CMNFV 008793,missing other number CMS-1-1937
CMNFV 008795,missing other number CMS-1-1917
