id,module,group_area,name,private_public,group_type,group_owner,department,note,create_date,updated_by,update_date
2320,1,catalogue,Jean Faubert Loan,PUBLIC,loan,BOTDATA1,botany,,2010-01-20 08:15:54 UTC,,
2322,1,catalogue,Najas flexilis loan,PUBLIC,loan,BOTDATA1,Botany,"For Trinity College, Dublin Prof. John Parnell for Ursula King.",2010-01-20 14:14:39 UTC,,
2330,1,catalogue,Georeferencing data,PUBLIC,,BOTDATA1,,Entering specimens that have been georeferenced.,2010-01-28 08:05:56 UTC,BOTDATA1,2010-11-16 15:57:36 UTC
2336,1,catalogue,Nicole Fenton info request,PUBLIC,,BOTDATA1,,Scapania glaucocephela information request,2010-02-03 08:17:46 UTC,,
2338,1,catalogue,Hyoscyamus Loan for Michael Vincent,PUBLIC,research,BOTDATA1,,"Mike Vincent, Miami University. ",2010-02-05 10:13:19 UTC,,
2348,1,catalogue,PEI mosses,PUBLIC,,BOTDATA1,,,2010-02-15 14:21:15 UTC,,
2352,1,catalogue,James Lendemer Loan,PUBLIC,loan,BOTDATA1,Lichens - Botany,Candelariella efflorescens/reflexa,2010-02-18 08:19:15 UTC,,
2355,1,catalogue,Jean Faubert Loan 2,PUBLIC,,BOTDATA1,,,2010-02-22 08:00:42 UTC,,
2356,1,catalogue,Macoun Mayne Island,PUBLIC,,BOTDATA1,,,2010-02-24 11:09:00 UTC,,
2357,1,catalogue,Mayne Island Specimens,PUBLIC,,BOTDATA1,,,2010-02-24 11:20:09 UTC,,
2358,1,catalogue,Mayne Island,PUBLIC,,BOTDATA1,,,2010-02-24 11:29:38 UTC,,
2360,1,catalogue,Bruce Bennett Exchange,PUBLIC,,BOTDATA1,,,2010-03-01 10:51:41 UTC,BOTDATA1,2010-03-22 12:34:36 UTC
2361,1,catalogue,Jean Faubert loan 3,PUBLIC,,BOTDATA1,,,2010-03-02 11:26:56 UTC,,
2375,1,catalogue,Benoit Tremblay loan,PUBLIC,,BOTDATA1,,,2010-03-15 08:29:28 UTC,BOTDATA1,2010-03-22 12:50:40 UTC
2382,1,catalogue,shaw loan ,PUBLIC,,BOTDATA1,,,2010-03-22 08:12:09 UTC,BOTDATA1,2010-03-22 08:12:42 UTC
2391,1,catalogue,Spribille loan,PUBLIC,,BOTDATA1,,For identification. UBC,2010-03-30 09:46:48 UTC,BOTDATA1,2010-03-30 09:53:29 UTC
2392,1,catalogue,Curtis Bjork Loan,PUBLIC,,BOTDATA1,,,2010-03-30 10:12:00 UTC,BOTDATA1,2010-04-12 13:49:19 UTC
2429,1,catalogue,Typha angustifolia,PUBLIC,database,BOTDATA1,,,2010-06-10 12:36:26 UTC,BOTDATA1,2010-06-11 16:26:28 UTC
2430,1,catalogue,Arabis kamchatica loan to ALA,PUBLIC,loan to ALA,BOTDATA1,,,2010-06-15 10:51:38 UTC,BOTDATA1,2010-06-28 10:55:01 UTC
2433,1,catalogue,Corispermum loan,PUBLIC,,BOTDATA1,,,2010-06-21 11:42:38 UTC,BOTDATA1,2010-06-22 09:13:52 UTC
2436,1,catalogue,Maggie Whitson info request,PUBLIC,,BOTDATA1,,,2010-06-28 13:01:50 UTC,BOTDATA1,2010-06-28 14:16:29 UTC
2457,1,catalogue,Porter CLF Glyceria loan,PUBLIC,,BOTDATA1,,,2010-07-26 14:36:53 UTC,BOTDATA1,2010-07-26 15:11:44 UTC
2458,1,catalogue,Brodo workshop loan,PUBLIC,lichen workshop,BOTDATA1,,,2010-07-26 16:35:36 UTC,BOTDATA1,2010-07-27 10:05:30 UTC
2459,1,catalogue,Hydrocharis morsus-ranae info,PUBLIC,,BOTDATA1,,,2010-07-27 15:28:25 UTC,BOTDATA1,2010-07-27 15:28:30 UTC
2482,1,catalogue,Rooms Banks specimens loan,PUBLIC,,BOTDATA1,,,2010-09-02 08:28:12 UTC,BOTDATA1,2011-03-03 10:25:35 UTC
2486,1,catalogue,Alchemilla loan,PUBLIC,,BOTDATA1,,,2010-09-02 12:45:48 UTC,BOTDATA1,2010-09-02 12:55:47 UTC
2511,1,catalogue,Lotus Corniculatus info,PUBLIC,information request to Jeremy Newman,BOTDATA1,,For Quebec and Ontario,2010-09-21 09:14:58 UTC,BOTDATA1,2010-09-21 14:27:23 UTC
2514,1,catalogue,Agropyron type loan,PUBLIC,,BOTDATA1,,,2010-09-23 09:41:21 UTC,BOTDATA1,2010-09-23 09:41:22 UTC
2515,1,catalogue,Starr loan 2010 2,PUBLIC,,BOTDATA1,,,2010-09-23 11:06:22 UTC,BOTDATA1,2010-09-23 11:07:06 UTC
2516,1,catalogue,Starr loan 2010 3,PUBLIC,,BOTDATA1,,,2010-09-24 09:54:09 UTC,BOTDATA1,2010-09-29 10:26:38 UTC
2517,1,catalogue,Starr loan 2010 5,PUBLIC,,BOTDATA1,,,2010-09-28 08:23:33 UTC,BOTDATA1,2010-09-28 08:23:36 UTC
2525,1,catalogue,Starr loan 2010 6,PUBLIC,,BOTDATA1,,,2010-09-30 13:45:45 UTC,BOTDATA1,2010-10-04 10:49:44 UTC
2527,1,catalogue,Starr loan 2010 7,PUBLIC,,BOTDATA1,,,2010-10-01 12:17:26 UTC,BOTDATA1,2010-11-09 09:48:35 UTC
2529,1,catalogue,Starr loan 2010 8,PUBLIC,,BOTDATA1,,,2010-10-04 08:43:16 UTC,BOTDATA1,2010-11-19 09:53:25 UTC
2530,1,catalogue,Starr loan 2010 9,PUBLIC,,BOTDATA1,,,2010-10-04 09:21:11 UTC,BOTDATA1,2010-11-23 16:14:17 UTC
2536,1,catalogue,Starr loan 2010 4,PUBLIC,,BOTDATA1,,,2010-10-06 10:50:03 UTC,BOTDATA1,2010-10-06 10:50:38 UTC
2545,1,catalogue,Fryday rhizocarpon loan,PUBLIC,,BOTDATA1,,,2010-10-18 09:41:10 UTC,BOTDATA1,2010-10-18 09:41:12 UTC
