id,module,group_area,name,private_public,group_type,group_owner,department,note,create_date,updated_by,update_date
1016,1,catalogue,DecpodaEnvirnull,PUBLIC,General Inquiry,JPRICE,Invertebrates,,2005-03-29 00:00:00 UTC,,
1337,1,catalogue,Conlan McMurdo,PUBLIC,General Inquiry,JPRICE,,for acquisition,2006-11-20 16:00:04 UTC,YDARE,2015-12-01 11:32:08 UTC
2017,1,catalogue,Water Gallery Specimens,PUBLIC,Exhibition,JPRICE,,Specimens chosen for inclusion in the Water Gallery to open at the VMMB in May 2010,2009-01-20 15:07:47 UTC,JPRICE,2010-04-08 15:59:51 UTC
2277,1,catalogue,Paustian request,PUBLIC,General Inquiry,JPRICE,,collecting locality records for slugs of the family Philomycidae in order to initiate a post-doctoral study of their phylogeography,2009-12-10 09:25:07 UTC,,
2284,256,taxonomy,Bivalve unknown authors,PUBLIC,,JPRICE,,,2009-12-16 11:39:22 UTC,,
2555,1,catalogue,Guerra-García loan,PUBLIC,Loan,JPRICE,,,2010-10-29 16:21:51 UTC,JPRICE,2010-10-29 16:21:59 UTC
3026,1,catalogue,Kim 20120516 acq,PUBLIC,General Inquiry,JPRICE,,,2012-05-16 16:40:58 UTC,JPRICE,2012-05-16 16:43:08 UTC
3143,1,catalogue,Arai colln with A? IZ1985-008,PUBLIC,General Inquiry,JPRICE,,,2012-10-29 15:02:41 UTC,JPRICE,2012-10-29 15:03:31 UTC
3144,64,sites,Arai HPA sites,PUBLIC,General Inquiry,JPRICE,,,2012-10-29 15:10:50 UTC,JPRICE,2012-11-23 12:47:10 UTC
3263,1,catalogue,JPRICE Interesting Specimens,PUBLIC,,JPRICE,,,2013-03-27 10:18:40 UTC,JPRICE,2013-03-27 10:19:56 UTC
3331,1,catalogue,Pontoporeia for ELB,PUBLIC,General Inquiry,JPRICE,,,2013-06-12 12:53:19 UTC,JPRICE,2013-06-28 15:32:16 UTC
3423,1,catalogue,Kim types,PUBLIC,General Inquiry,JPRICE,,,2013-11-06 11:43:50 UTC,JPRICE,2013-11-06 11:52:36 UTC
3582,1,catalogue,Grimm IZ1988-099,PUBLIC,General Inquiry,PSTEMARIE,,,2014-02-14 09:22:26 UTC,PSTEMARIE,2014-02-14 09:23:30 UTC
3583,1,catalogue,Grimm IZ1988-099_2,PUBLIC,General Inquiry,PSTEMARIE,,,2014-02-14 09:44:53 UTC,,
3888,1,catalogue,EOBM Unionidae,PUBLIC,General Inquiry,JPRICE,,,2014-05-30 13:03:18 UTC,JPRICE,2014-05-30 14:47:10 UTC
3930,1,catalogue,Locke 2014 acq,PUBLIC,General Inquiry,JPRICE,,,2014-08-19 10:23:43 UTC,JPRICE,2014-08-19 14:40:07 UTC
3946,1,catalogue,Hoberg - Echinococcus granulosus,PUBLIC,General Inquiry,JPRICE,,,2014-09-11 16:23:03 UTC,JPRICE,2014-09-16 14:59:36 UTC
3961,1,catalogue,Canadian Arctic Parasites,PUBLIC,General Inquiry,JPRICE,,,2014-10-03 09:03:06 UTC,JPRICE,2014-10-03 09:10:51 UTC
3994,1,catalogue,Stafford specimens,PUBLIC,General Inquiry,JPRICE,,Grouping all J. Stafford material prepatory to a descriptive publication to subsume subsequent neotype(s),2014-11-21 09:13:49 UTC,JPRICE,2014-11-21 09:25:34 UTC
4083,1,catalogue,Measures 2015 acq,PUBLIC,General Inquiry,JPRICE,,,2015-03-19 14:32:40 UTC,JPRICE,2015-03-19 14:32:58 UTC
