id,module,group_area,name,private_public,group_type,group_owner,department,note,create_date,updated_by,update_date
1527,1,catalogue,Jean Faubert 2,PUBLIC,Loan,MBOUCHARD,,,2007-06-18 14:23:45 UTC,,
1653,1,catalogue,Ledum loan,PUBLIC,Loan,MBOUCHARD,,,2007-10-22 11:40:25 UTC,,
1702,1,catalogue,Forgotten ledum,PUBLIC,,MBOUCHARD,,,2008-01-15 07:55:39 UTC,,
1717,1,catalogue,Newmaster Loan - Callicladium haldanianum,PUBLIC,Loan,MBOUCHARD,,"Groupe 1 of three groups. Other gorups are:
Newmaster Loan - Leucopelis menziesii & Newmaster Loan - Pseudobryum cinclidioides",2008-01-18 13:45:31 UTC,PFRANK,2010-03-15 10:22:31 UTC
1726,1,catalogue,Newmaster Loan - Pseudobryum cinclididoides,PUBLIC,,MBOUCHARD,,,2008-01-25 11:02:36 UTC,PFRANK,2010-03-15 10:26:37 UTC
1727,1,catalogue,Newmaster Loan - Leucolepis menziesii,PUBLIC,,MBOUCHARD,,,2008-01-25 11:03:45 UTC,PFRANK,2010-03-15 10:24:01 UTC
1729,1,catalogue,Newmaster Loan - Trachycystis flagellaris,PUBLIC,Loan,MBOUCHARD,,,2008-01-25 15:11:59 UTC,PFRANK,2010-03-15 10:27:26 UTC
1733,1,catalogue,Newmaster Loan - Leptodictyum humile,PUBLIC,Loan,MBOUCHARD,,,2008-01-28 13:49:59 UTC,PFRANK,2010-03-15 10:23:38 UTC
1734,1,catalogue,Newmaster Loan - Leptodictyum sp.,PUBLIC,Loan,MBOUCHARD,,,2008-01-29 09:02:07 UTC,PFRANK,2010-03-15 10:23:54 UTC
1735,1,catalogue,Newmaster Loan - Homomallium adnatum,PUBLIC,Loan,MBOUCHARD,,,2008-01-29 09:07:23 UTC,PFRANK,2010-03-15 10:23:23 UTC
1736,1,catalogue,Newmaster Loan - Homomallium sp.,PUBLIC,Loan,MBOUCHARD,,,2008-01-29 09:19:40 UTC,PFRANK,2010-03-15 10:23:31 UTC
