id_number,label_name,taxon_link,ident,id_date,type_status,higher_taxa,count,sex,coll_num,collector,place_collected,date_collected,spec_nature,description,acq_number,site_desc,altitude,lat,long,site_notes,home_loc
CANL 113721,Cladonia rangiferina,Cladonia rangiferina,"Hammer, S.",1995,,Chitinous Fungi; Ascomycota; Pezizomycotina; Lecanoromycetes; Lecanoromycetidae; Lecanorales; Lecanorineae; Cladoniaceae; Cladonia,1,,"","Hammer, S.","North America: United States, Maine, Washington Co. (ME), Edmunds, Town of",1995 08 30,dry,,A2000.0006,Cobscook Bay State park,0 m,45.0,-67.0,On cliff overlooking Bay of Fundy.,Natural Heritage Building/ Herbarium
CANL 113725,Cladonia subtenuis,Cladonia subtenuis,"Hammer, S.",1995,,Chitinous Fungi; Ascomycota; Pezizomycotina; Lecanoromycetes; Lecanoromycetidae; Lecanorales; Lecanorineae; Cladoniaceae; Cladonia,1,,"","Hammer, S.","North America: United States, Maine, Washington Co. (ME), Edmunds, Town of",1995 08 30,dry,,A2000.0006,Cobscook Bay State park,0 m,45.0,-67.0,On cliff overlooking Bay of Fundy.,Natural Heritage Building/ Herbarium
CANL 113731,Cladonia brevis,Cladonia brevis,"Hammer, S.",1995,,Chitinous Fungi; Ascomycota; Pezizomycotina; Lecanoromycetes; Lecanoromycetidae; Lecanorales; Lecanorineae; Cladoniaceae; Cladonia,1,,"","Hammer, S.","North America: United States, Maine, Washington Co. (ME), Edmunds, Town of",1995 08 30,dry,,A2000.0006,Cobscook Bay State park,0 m,45.0,-67.0,On cliff overlooking Bay of Fundy.,Natural Heritage Building/ Herbarium
CANL 113743,Cladonia furcata,Cladonia furcata,"Hammer, S.",1995,,Chitinous Fungi; Ascomycota; Pezizomycotina; Lecanoromycetes; Lecanoromycetidae; Lecanorales; Lecanorineae; Cladoniaceae; Cladonia,1,,"","Hammer, S.","North America: United States, Maine, Washington Co. (ME), Edmunds, Town of",1995 08 28,dry,,A2000.0006,Cobscook Bay State park,0 m,45.0,-67.0,On cliff overlooking Bay of Fundy.,Natural Heritage Building/ Herbarium
CANL 113744,Cladonia furcata,Cladonia furcata,"Hammer, S.",1995,,Chitinous Fungi; Ascomycota; Pezizomycotina; Lecanoromycetes; Lecanoromycetidae; Lecanorales; Lecanorineae; Cladoniaceae; Cladonia,1,,"","Hammer, S.","North America: United States, Maine, Washington Co. (ME), Edmunds, Town of",1995 08 30,dry,,A2000.0006,Cobscook Bay State park,0 m,45.0,-67.0,On cliff overlooking Bay of Fundy.,Natural Heritage Building/ Herbarium
CANL 113760,Cladonia subcariosa,Cladonia subcariosa,"Hammer, S.",1995,,Chitinous Fungi; Ascomycota; Pezizomycotina; Lecanoromycetes; Lecanoromycetidae; Lecanorales; Lecanorineae; Cladoniaceae; Cladonia,1,,"","Hammer, S.","North America: United States, Maine, Washington Co. (ME), Edmunds, Town of",1995 08 30,dry,,A2000.0006,Cobscook Bay State park,0 m,45.0,-67.0,On cliff overlooking Bay of Fundy.,Natural Heritage Building/ Herbarium
CANL 113767,Cladonia scabriuscula,Cladonia scabriuscula,"Hammer, S.",1995,,Chitinous Fungi; Ascomycota; Pezizomycotina; Lecanoromycetes; Lecanoromycetidae; Lecanorales; Lecanorineae; Cladoniaceae; Cladonia,1,,"","Hammer, S.","North America: United States, Maine, Washington Co. (ME), Edmunds, Town of",1995 08 30,dry,,A2000.0006,Cobscook Bay State park,0 m,45.0,-67.0,On cliff overlooking Bay of Fundy.,Natural Heritage Building/ Herbarium
CANL 113769,Cladonia strepsilis,Cladonia strepsilis,"Hammer, S.",1994,,Chitinous Fungi; Ascomycota; Pezizomycotina; Lecanoromycetes; Lecanoromycetidae; Lecanorales; Lecanorineae; Cladoniaceae; Cladonia,1,,"","Hammer, S.","North America: United States, Maine, Washington Co. (ME), Edmunds, Town of",1994 07 10,dry,,A2000.0006,Cobscook Bay State park,0 m,45.0,-67.0,On cliff overlooking Bay of Fundy.,Natural Heritage Building/ Herbarium
CANL 113771,Cladonia turgida,Cladonia turgida,"Ahti, Teuvo",1995,,Chitinous Fungi; Ascomycota; Pezizomycotina; Lecanoromycetes; Lecanoromycetidae; Lecanorales; Lecanorineae; Cladoniaceae; Cladonia,1,,"","Hammer, S.","North America: United States, Maine, Washington Co. (ME), Edmunds, Town of",1995 08 28,dry,,A2000.0006,Cobscook Bay State park,0 m,45.0,-67.0,On cliff overlooking Bay of Fundy.,Natural Heritage Building/ Herbarium
CANL 113729,Cladonia macilenta var. bacillaris,Cladonia macilenta var. bacillaris,"Hammer, S.",1994,,Chitinous Fungi; Ascomycota; Pezizomycotina; Lecanoromycetes; Lecanoromycetidae; Lecanorales; Lecanorineae; Cladoniaceae; Cladonia; Cladonia macilenta,1,,"","Hammer, S.","North America: United States, Maine, Washington Co. (ME), Edmunds, Town of",1994 07 10,dry,,A2000.0006,Cobscook Bay State park,0 m,45.0,-67.0,On cliff overlooking Bay of Fundy.,Natural Heritage Building/ Herbarium
