ID Number,xx speckey,xx Scientific Name
CMNPYM11366,500147,xxEquisetaceae
CMNPYM09985,1078005,xxCryptogramma stelleri
CMNPYM01587,1079059,xxSelaginella rupestris
CMNPYM01543,1078930,xxOsmunda cinnamomea
CMNPYM00778,1078934,xxOsmunda claytoniana
CMNPYM00420,1078934,xxOsmunda claytoniana
CMNPYM00974,1078934,xxOsmunda claytoniana
CMNPYM00421,1078935,xxOsmunda regalis
CMNPYM05575,1078602,xxLindsaea ensifolia
CMNPYM05565,1078603,xxLindsaea lancea
CMNPYM05566,1078604,xxLindsaea portoricensis
CMNPYM05567,1078605,xxLindsaea quadrangularis
CMNPYM04949,1096693,xxCatharanthus roseus
CMNPYM09578,1096693,xxCatharanthus roseus
CMNPYM11459,1131163,xxCynosurus cristatus
CMNPYM11412,1131165,xxDactylis glomerata
CMNPYM11401,1131165,xxDactylis glomerata
CMNPYM11402,1131198,xxHordeum jubatum
CMNPYM08734,1131214,xxLolium multiflorum
CMNPYM08631,1130107,xxScheuchzeria palustris
CMNPYM09375,1131537,xxNolina bigelovii
CMNPYM11088,1131554,xxAllium ampeloprasum
CMNPYM09294,1131555,xxAllium brevistylum
CMNPYM09006,1130213,xxArisaema dracontium
CMNPYM00763,1130218,xxArisaema triphyllum
CMNPYM00313,1131557,xxAllium stellatum
CMNPYM03106,1131557,xxAllium stellatum
CMNPYM00314,1131558,xxAllium textile
CMNPYM02424,1131559,xxAllium tricoccum
CMNPYM00967,1131092,xxScirpus atrocinctus
CMNPYM07736,1131096,xxScirpus mucronatus
CMNPYM11420,1131100,xxScleria secans
CMNPYM02438,1131319,xxEriocaulon lineare
CMNPYM02439,1131324,xxEriocaulon parkeri
CMNPYM02440,1131325,xxEriocaulon ravenelii
CMNPYM02442,1131332,xxEriocaulon texense
CMNPYM01483,1131117,xxAgropyron repens
CMNPYM09251,1131120,xxAgrostis hyemalis
CMNPYM07435,1131121,xxAgrostis nebulosa
CMNPYM12765,1131123,xxAira caryophyllea
CMNPYM00815,1130225,xxCalla palustris
CMNPYM11415,1131447,xxSparganium angustifolium
CMNPYM00962,1131447,xxSparganium angustifolium
CMNPYM02392,1131447,xxSparganium angustifolium
CMNPYM06478,1131447,xxSparganium angustifolium
CMNPYM06456,1131447,xxSparganium angustifolium
CMNPYM06470,1131450,xxSparganium erectum
CMNPYM06466,1131450,xxSparganium erectum
CMNPYM06465,1131450,xxSparganium erectum
CMNPYM06458,1131455,xxSparganium hyperboreum
CMNPYM06457,1131456,xxSparganium minimum
CMNPYM09244,1131456,xxSparganium minimum
CMNPYM00320,1130029,xxAlisma gramineum
CMNPYM11405,1131292,xxTriticum aestivum
CMNPYM07404,1131292,xxTriticum aestivum
CMNPYM08785,1131292,xxTriticum aestivum
CMNPYM07405,1131295,xxTriticum compactum
CMNPYM07406,1131298,xxTriticum durum
CMNPYM07414,1131298,xxTriticum durum
CMNPYM07444,1131302,xxTriticum spelta
CMNPYM00604,1131308,xxZizania aquatica
CMNPYM02437,1131316,xxEriocaulon decangulare
CMNPYM02145,1130055,xxSagittaria cuneata
CMNPYM03098,1130055,xxSagittaria cuneata
CMNPYM09275,1131358,xxJuncus marginatus
CMNPYM09277,1131361,xxLuzula campestris
CMNPYM08929,1131362,xxLuzula confusa
CMNPYM01593,1130299,xxSymplocarpus foetidus
CMNPYM05343,1130299,xxSymplocarpus foetidus
CMNPYM09010,1130299,xxSymplocarpus foetidus
CMNPYM03854,1131039,xxCarex aquatilis
CMNPYM10619,1131040,xxCarex arenaria
CMNPYM01577,1130061,xxSagittaria latifolia
CMNPYM06615,1130061,xxSagittaria latifolia
CMNPYM09001,1130061,xxSagittaria latifolia
CMNPYM06621,1130064,xxSagittaria rigida
CMNPYM11407,1131134,xxAnthoxanthum odoratum
CMNPYM11400,1131134,xxAnthoxanthum odoratum
CMNPYM06617,1130065,xxSagittaria sagittifolia
CMNPYM09025,1130101,xxPotamogeton amplifolius
CMNPYM00408,1130103,xxPotamogeton pectinatus
CMNPYM02422,1130104,xxPotamogeton richardsonii
CMNPYM03562,1130104,xxPotamogeton richardsonii
CMNPYM09257,1130104,xxPotamogeton richardsonii
CMNPYM08930,1131146,xxBromus carinatus
CMNPYM11404,1131147,xxBromus inermis
CMNPYM03867,1131149,xxCalamagrostis canadensis
CMNPYM09254,1131149,xxCalamagrostis canadensis
CMNPYM07426,1131151,xxCenchrus ciliaris
CMNPYM08927,1131526,xxDasylirion leiophyllum
CMNPYM09323,1131526,xxDasylirion leiophyllum
