speckey,Scientific Name,Parent,Level Name,Author/Date
500147,xxEquisetaceae,500124,FAMILY,
1079059,xxSelaginella rupestris,1147467,SPECIES,(L.) Spring
1078930,xxOsmunda cinnamomea,1148083,SPECIES,L.
1078934,xxOsmunda claytoniana,1148083,SPECIES,L.
1078935,xxOsmunda regalis,1148083,SPECIES,L.
1078602,xxLindsaea ensifolia,1078601,SPECIES,Sw.
1078603,xxLindsaea lancea,1078601,SPECIES,(L.) Bedd.
1078604,xxLindsaea portoricensis,1078601,SPECIES,Desv.
1078605,xxLindsaea quadrangularis,1078601,SPECIES,Raddi
1096693,xxCatharanthus roseus,1096692,SPECIES,(L.) G. Don
1131163,xxCynosurus cristatus,1131162,SPECIES,L.
1131165,xxDactylis glomerata,1131164,SPECIES,L.
1131198,xxHordeum jubatum,1131197,SPECIES,L.
1131214,xxLolium multiflorum,1131213,SPECIES,
1130107,xxScheuchzeria palustris,1130106,SPECIES,L.
1131537,xxNolina bigelovii,1131536,SPECIES,(Torr.) Wats.
1131554,xxAllium ampeloprasum,1131552,SPECIES,L.
1131555,xxAllium brevistylum,1131552,SPECIES,Watson
1130213,xxArisaema dracontium,1130210,SPECIES,
1130218,xxArisaema triphyllum,1130210,SPECIES,(L.) Schott
1131557,xxAllium stellatum,1131552,SPECIES,Ker.
1131558,xxAllium textile,1131552,SPECIES,Nels. & Macbr.
1131559,xxAllium tricoccum,1131552,SPECIES,
1131092,xxScirpus atrocinctus,1131090,SPECIES,Fernald
1131096,xxScirpus mucronatus,1131090,SPECIES,L.
1131100,xxScleria secans,1131099,SPECIES,L. Urb.
1131319,xxEriocaulon lineare,1131312,SPECIES,Sm.
1131324,xxEriocaulon parkeri,1131312,SPECIES,Rob.
1131325,xxEriocaulon ravenelii,1131312,SPECIES,Chapm.
1131332,xxEriocaulon texense,1131312,SPECIES,Korn
1131117,xxAgropyron repens,1131116,SPECIES,Beauv.
1131120,xxAgrostis hyemalis,1131118,SPECIES,
1131121,xxAgrostis nebulosa,1131118,SPECIES,B.R.
1131123,xxAira caryophyllea,1131122,SPECIES,L.
1130225,xxCalla palustris,1130224,SPECIES,L.
1131447,xxSparganium angustifolium,1131445,SPECIES,Michaux
1131450,xxSparganium erectum,1131445,SPECIES,
1131455,xxSparganium hyperboreum,1131445,SPECIES,
1131456,xxSparganium minimum,1131445,SPECIES,
1130029,xxAlisma gramineum,1130027,SPECIES,Gmelin
1131292,xxTriticum aestivum,1131291,SPECIES,L.
1131295,xxTriticum compactum,1131291,SPECIES,
1131298,xxTriticum durum,1131291,SPECIES,
1131302,xxTriticum spelta,1131291,SPECIES,L.
1131316,xxEriocaulon decangulare,1131312,SPECIES,L.
1130055,xxSagittaria cuneata,1130052,SPECIES,Sheldon
1131358,xxJuncus marginatus,1131355,SPECIES,Rostk.
1131361,xxLuzula campestris,1131360,SPECIES,(L.) DC.
1130299,xxSymplocarpus foetidus,1130298,SPECIES,(L.) Salisb.; Nutt.
1131039,xxCarex aquatilis,1131038,SPECIES,
1131040,xxCarex arenaria,1131038,SPECIES,L.
1130061,xxSagittaria latifolia,1130052,SPECIES,Willdenow
1130064,xxSagittaria rigida,1130052,SPECIES,
1131134,xxAnthoxanthum odoratum,1131133,SPECIES,L.
1130065,xxSagittaria sagittifolia,1130052,SPECIES,
1130101,xxPotamogeton amplifolius,1130100,SPECIES,
1130103,xxPotamogeton pectinatus,1130100,SPECIES,L.
1130104,xxPotamogeton richardsonii,1130100,SPECIES,
1131146,xxBromus carinatus,1131145,SPECIES,
1131147,xxBromus inermis,1131145,SPECIES,L.
1131149,xxCalamagrostis canadensis,1131148,SPECIES,
1131151,xxCenchrus ciliaris,1131150,SPECIES,
1131526,xxDasylirion leiophyllum,1131524,SPECIES,Engelm.
1132936,xxCampanula rapunculoides,1102331,SPECIES,L.
1136024,xxDraba aurea,1136022,SPECIES,Vahl
1136027,xxDraba glabella,1136022,SPECIES,
1136028,xxDraba incerta,1136022,SPECIES,Payson
1136031,xxDraba nemorosa,1136022,SPECIES,L.
1136032,xxDraba nivalis,1136022,SPECIES,
1131973,xxClintonia borealis,1131972,SPECIES,(Aiton) Raf.
1132697,xxHelenium microcephalum,1132695,SPECIES,DC.
1132699,xxHelianthella quinquenervis,1132698,SPECIES,
1135842,xxRumex obtusifolius,1083856,SPECIES,
1137478,xxPopulus grandidentata,1137473,SPECIES,Michaux
1137479,xxPopulus heterophylla,1137473,SPECIES,L.
1137483,xxPopulus tremuloides,1137473,SPECIES,Michaux
1135315,xxPedicularis bracteosa,1135313,SPECIES,Bentham
1135316,xxPedicularis capitata,1135313,SPECIES,Adams
1135317,xxPedicularis flammea,1135313,SPECIES,L.
1135319,xxPedicularis hirsuta,1135313,SPECIES,L.
1135320,xxPedicularis labradorica,1135313,SPECIES,Panzer.
1135321,xxPedicularis lanata,1135313,SPECIES,
1132701,xxHemizonia corymbosa,1132700,SPECIES,
1132702,xxHemizonia fasciculata,1132700,SPECIES,
1133635,xxSabatia capitata,1133633,SPECIES,
1133636,xxSabatia gentianoides,1133633,SPECIES,
1133638,xxSabatia stellaris,1133633,SPECIES,Pursh
1135697,xxBoerhavia gracillima,1135694,SPECIES,Heimerl
1135323,xxPedicularis parviflora,1135313,SPECIES,Smith
1135328,xxPenstemon albidus,1135327,SPECIES,Nutt.
1135329,xxPenstemon calycosus,1135327,SPECIES,
1135333,xxPenstemon procerus,1135327,SPECIES,Dougl.
1136077,xxNeslia paniculata,1136076,SPECIES,Desv.
1135244,xxCastilleja occidentalis,1135240,SPECIES,Torr.
1135245,xxCastilleja pallida,1135240,SPECIES,(L.) Spreng.
1135250,xxCymbalaria muralis,1135249,SPECIES,Gaertn.
1137450,xxAndrosace filiformis,1087619,SPECIES,
1137462,xxPrimula incana,1137460,SPECIES,M.E. Jones
1133043,xxLonicera utahensis,1133039,SPECIES,S. Wats.
1133045,xxSymphoricarpos albus,1133044,SPECIES,(L.) Blake
1134056,xxNymphoides peltata,1134049,SPECIES,(Gmel.) Ktze.
1134070,xxCollomia linearis,1134069,SPECIES,Nutt.
1134078,xxPhlox divaricata,1134077,SPECIES,L.
1134079,xxPhlox hoodii,1134077,SPECIES,Richards.
1134080,xxPhlox paniculata,1134077,SPECIES,L.
1134081,xxPhlox pilosa,1134077,SPECIES,L.
1134083,xxPolemonium acutiflorum,1134082,SPECIES,Willdenow
1136043,xxEutrema edwardsii,1136042,SPECIES,R. Br.
1134085,xxPolemonium pulcherrimum,1134082,SPECIES,Hooker
1132706,xxHymenoxys odorata,1132705,SPECIES,DC.
1137016,xxMalva alcea,1137014,SPECIES,L.
1137019,xxMalva moschata,1137014,SPECIES,L.
1137020,xxMalva neglecta,1137014,SPECIES,Wallr.
1137022,xxMalva parviflora,1137014,SPECIES,L.
1137494,xxSalix candida,1137471,SPECIES,Fluegge
1137495,xxSalix caroliniana,1137471,SPECIES,Michaux
1137497,xxSalix commutata,1137471,SPECIES,Bebb
1137498,xxSalix cordata,1137471,SPECIES,Muhl.
1137499,xxSalix daphnoides,1137471,SPECIES,L.
1137505,xxSalix herbacea,1137471,SPECIES,L.
1137506,xxSalix hookeriana,1137471,SPECIES,Hooker
1137507,xxSalix humboldtiana,1137471,SPECIES,
1137508,xxSalix humilis,1137471,SPECIES,Marsh
1137512,xxSalix laevigata,1137471,SPECIES,Bebb.
1137516,xxSalix lasiolepis,1137471,SPECIES,Bentham
1137517,xxSalix lucida,1137471,SPECIES,Muhl.
1137518,xxSalix lutea,1137471,SPECIES,Nutt.
1137519,xxSalix myricoides,1137471,SPECIES,Muhl.
1132737,xxThelesperma megapotamicum,1132736,SPECIES,(Sprengel) Kuntze.
1133472,xxCentaurium pulchellum,1133469,SPECIES,(Sw.) Druce
1135438,xxAmaranthus hybridus,1135433,SPECIES,L.
1135440,xxAmaranthus retroflexus,1135433,SPECIES,L.
1135442,xxAmaranthus spinosus,1135433,SPECIES,
1137879,xxHelianthemum canadense,1137875,SPECIES,(L.) Michaux
1137882,xxHelianthemum corymbosum,1137875,SPECIES,Michaux
1136533,xxCassiope tetragona,1136530,SPECIES,D. Don; L.
1133051,xxViburnum dentatum,1133049,SPECIES,
1133052,xxViburnum edule,1133049,SPECIES,Rafinesque-Schmaltz
1133054,xxViburnum nudum,1133049,SPECIES,
1136547,xxGaylussacia baccata,1136546,SPECIES,Koch
1136549,xxKalmia angustifolia,1136548,SPECIES,L.
1135100,xxUtricularia intermedia,1135088,SPECIES,Hayne
1135756,xxClaytonia sarmentosa,1135752,SPECIES,C.A. Mey
1135758,xxMontia fontana,1135757,SPECIES,
1135764,xxTalinum triangulare,1135763,SPECIES,(Jacquin) Willdenow
1136558,xxLedum palustre,1136554,SPECIES,L.
1137490,xxSalix barclayi,1137471,SPECIES,Anderss.
1137491,xxSalix bebbiana,1137471,SPECIES,Sarg.
1137492,xxSalix bonplandiana,1137471,SPECIES,HBK.
1137493,xxSalix brachycarpa,1137471,SPECIES,Nutt.
1133067,xxKnautia arvensis,1133066,SPECIES,(L.) Coult.
1133802,xxCallitriche heterophylla,1133799,SPECIES,Pursh
1136228,xxDiospyros ferrea,1136226,SPECIES,
