ID Number,xx speckey,xx Scientific Name
CAN 438240,500146,xxIsoetes
CAN 437801,500146,xxIsoetes
CAN 439772,500148,xxEquisetum
CAN 409995,500163,xxStellaria longifolia
CAN 429524,500163,xxStellaria longifolia
CAN 447373,500163,xxStellaria longifolia
CAN 449033,500163,xxStellaria longifolia
CAN 457049,500163,xxStellaria longifolia
CAN 429488,500163,xxStellaria longifolia
CAN 452282,500163,xxStellaria longifolia
CAN 451494,500163,xxStellaria longifolia
CAN 438932,500163,xxStellaria longifolia
CAN 452212,500163,xxStellaria longifolia
CAN 429417,500163,xxStellaria longifolia
CAN 485868,500163,xxStellaria longifolia
CAN 434658,500163,xxStellaria longifolia
CAN 434691,500163,xxStellaria longifolia
CAN 441510,500163,xxStellaria longifolia
CAN 470582,500163,xxStellaria longifolia
CAN 446612,500163,xxStellaria longifolia
CAN 441362,500163,xxStellaria longifolia
CAN 465594,500163,xxStellaria longifolia
CAN 501944,500163,xxStellaria longifolia
CAN 485691,500163,xxStellaria longifolia
CAN 485664,500163,xxStellaria longifolia
CAN 487809,500163,xxStellaria longifolia
CAN 501706,500163,xxStellaria longifolia
CAN 502180,500163,xxStellaria longifolia
CAN 534483,500163,xxStellaria longifolia
CAN 534429,500163,xxStellaria longifolia
CAN 530452,500163,xxStellaria longifolia
CAN 541954,500163,xxStellaria longifolia
CAN 530131,500163,xxStellaria longifolia
CAN 542295,500163,xxStellaria longifolia
CAN 533319,500163,xxStellaria longifolia
CAN 551406,500163,xxStellaria longifolia
CAN 50385,500164,xxViola renifolia
CAN 448304,500164,xxViola renifolia
CAN 452203,500164,xxViola renifolia
CAN 485577,500164,xxViola renifolia
CAN 518626,500164,xxViola renifolia
CAN 505335,500164,xxViola renifolia
CAN 540248,500164,xxViola renifolia
CAN 549220,500164,xxViola renifolia
CAN 540487,500164,xxViola renifolia
CAN 542040,500164,xxViola renifolia
CAN 551308,500164,xxViola renifolia
CAN 551324,500164,xxViola renifolia
CAN 429654,500170,xxRanunculus flammula
CAN 542656,500170,xxRanunculus flammula
CAN 439596,500175,xxRanunculus repens
CAN 455693,500175,xxRanunculus repens
CAN 439472,500175,xxRanunculus repens
CAN 435976,500175,xxRanunculus repens
CAN 435713,500175,xxRanunculus repens
CAN 475011,500175,xxRanunculus repens
CAN 436542,500175,xxRanunculus repens
CAN 475706,500175,xxRanunculus repens
CAN 475168,500175,xxRanunculus repens
CAN 474974,500175,xxRanunculus repens
CAN 526108,500175,xxRanunculus repens
CAN 524000,500175,xxRanunculus repens
CAN 521478,500175,xxRanunculus repens
CAN 475786,500175,xxRanunculus repens
CAN 540431,500175,xxRanunculus repens
CAN 530645,500175,xxRanunculus repens
CAN 521556,500175,xxRanunculus repens
CAN 540446,500175,xxRanunculus repens
CAN 536373,500175,xxRanunculus repens
CAN 68047,500179,xxPotentilla argentea
CAN 439009,500179,xxPotentilla argentea
CAN 445867,500179,xxPotentilla argentea
CAN 450692,500179,xxPotentilla argentea
CAN 455214,500179,xxPotentilla argentea
CAN 441036,500179,xxPotentilla argentea
CAN 438494,500179,xxPotentilla argentea
CAN 430721,500179,xxPotentilla argentea
CAN 438936,500179,xxPotentilla argentea
CAN 433128,500179,xxPotentilla argentea
CAN 448715,500179,xxPotentilla argentea
CAN 524542,500179,xxPotentilla argentea
CAN 500993,500179,xxPotentilla argentea
CAN 501742,500179,xxPotentilla argentea
CAN 547998,500179,xxPotentilla argentea
CAN 526996,500179,xxPotentilla argentea
CAN 530363,500179,xxPotentilla argentea
CAN 540944,500179,xxPotentilla argentea
CAN 319094,500196,xxStellaria graminea
CAN 439022,500196,xxStellaria graminea
CAN 452371,500196,xxStellaria graminea
CAN 430297,500196,xxStellaria graminea
CAN 450663,500196,xxStellaria graminea
CAN 450986,500196,xxStellaria graminea
CAN 455646,500196,xxStellaria graminea
CAN 438922,500196,xxStellaria graminea
CAN 474814,500196,xxStellaria graminea
CAN 474982,500196,xxStellaria graminea
CAN 475738,500196,xxStellaria graminea
CAN 475775,500196,xxStellaria graminea
CAN 500882,500196,xxStellaria graminea
CAN 526063,500196,xxStellaria graminea
CAN 522305,500196,xxStellaria graminea
CAN 501162,500196,xxStellaria graminea
CAN 501782,500196,xxStellaria graminea
CAN 505241,500196,xxStellaria graminea
CAN 501741,500196,xxStellaria graminea
CAN 501692,500196,xxStellaria graminea
CAN 530596,500196,xxStellaria graminea
CAN 527409,500196,xxStellaria graminea
CAN 521346,500196,xxStellaria graminea
CAN 530298,500196,xxStellaria graminea
CAN 526420,500196,xxStellaria graminea
CAN 452718,500565,xxAnemone virginiana
CAN 451270,500565,xxAnemone virginiana
CAN 416436,500565,xxAnemone virginiana
CAN 451984,500565,xxAnemone virginiana
CAN 451117,500565,xxAnemone virginiana
CAN 458725,500565,xxAnemone virginiana
CAN 443451,500565,xxAnemone virginiana
CAN 466009,500565,xxAnemone virginiana
CAN 448029,500565,xxAnemone virginiana
CAN 505057,500565,xxAnemone virginiana
CAN 549206,500565,xxAnemone virginiana
CAN 522368,500565,xxAnemone virginiana
CAN 524580,500565,xxAnemone virginiana
CAN 516970,500565,xxAnemone virginiana
CAN 500812,500565,xxAnemone virginiana
CAN 501425,500565,xxAnemone virginiana
CAN 501426,500565,xxAnemone virginiana
CAN 501388,500565,xxAnemone virginiana
CAN 500994,500565,xxAnemone virginiana
CAN 534646,500565,xxAnemone virginiana
CAN 536432,500565,xxAnemone virginiana
CAN 527532,500565,xxAnemone virginiana
CAN 522427,500565,xxAnemone virginiana
CAN 529972,500565,xxAnemone virginiana
CAN 440563,500575,xxLobelia spicata
CAN 429809,500575,xxLobelia spicata
CAN 500822,500575,xxLobelia spicata
CAN 501645,500575,xxLobelia spicata
CAN 542782,500575,xxLobelia spicata
CAN 549351,500575,xxLobelia spicata
CAN 342651,500584,xxGalium trifidum
CAN 410023,500584,xxGalium trifidum
CAN 415231,500584,xxGalium trifidum
CAN 415322,500584,xxGalium trifidum
CAN 140598,500584,xxGalium trifidum
CAN 441029,500584,xxGalium trifidum
CAN 436615,500584,xxGalium trifidum
CAN 447684,500584,xxGalium trifidum
CAN 449566,500584,xxGalium trifidum
CAN 434634,500584,xxGalium trifidum
CAN 452146,500584,xxGalium trifidum
CAN 441694,500584,xxGalium trifidum
CAN 441459,500584,xxGalium trifidum
CAN 429405,500584,xxGalium trifidum
CAN 451113,500584,xxGalium trifidum
CAN 429802,500584,xxGalium trifidum
CAN 452222,500584,xxGalium trifidum
CAN 435744,500584,xxGalium trifidum
CAN 451521,500584,xxGalium trifidum
CAN 452424,500584,xxGalium trifidum
CAN 429655,500584,xxGalium trifidum
CAN 464169,500584,xxGalium trifidum
CAN 436202,500584,xxGalium trifidum
CAN 475114,500584,xxGalium trifidum
CAN 496824,500584,xxGalium trifidum
CAN 475319,500584,xxGalium trifidum
CAN 497054,500584,xxGalium trifidum
CAN 497095,500584,xxGalium trifidum
CAN 441352,500584,xxGalium trifidum
CAN 441347,500584,xxGalium trifidum
CAN 441488,500584,xxGalium trifidum
CAN 496813,500584,xxGalium trifidum
CAN 475248,500584,xxGalium trifidum
CAN 496902,500584,xxGalium trifidum
CAN 475768,500584,xxGalium trifidum
CAN 475186,500584,xxGalium trifidum
CAN 498222,500584,xxGalium trifidum
CAN 440985,500584,xxGalium trifidum
CAN 502269,500584,xxGalium trifidum
CAN 521964,500584,xxGalium trifidum
CAN 505096,500584,xxGalium trifidum
CAN 521667,500584,xxGalium trifidum
CAN 501179,500584,xxGalium trifidum
CAN 521372,500584,xxGalium trifidum
CAN 521018,500584,xxGalium trifidum
CAN 501214,500584,xxGalium trifidum
CAN 502413,500584,xxGalium trifidum
CAN 516887,500584,xxGalium trifidum
CAN 487849,500584,xxGalium trifidum
CAN 540374,500584,xxGalium trifidum
CAN 526375,500584,xxGalium trifidum
CAN 533417,500584,xxGalium trifidum
CAN 534745,500584,xxGalium trifidum
CAN 540573,500584,xxGalium trifidum
CAN 540625,500584,xxGalium trifidum
CAN 536420,500584,xxGalium trifidum
CAN 527479,500584,xxGalium trifidum
CAN 522437,500584,xxGalium trifidum
CAN 526406,500584,xxGalium trifidum
CAN 526949,500584,xxGalium trifidum
CAN 542917,500584,xxGalium trifidum
CAN 540973,500584,xxGalium trifidum
CAN 542090,500584,xxGalium trifidum
CAN 551593,500584,xxGalium trifidum
CAN 551650,500584,xxGalium trifidum
CAN 542481,500584,xxGalium trifidum
CAN 551747,500584,xxGalium trifidum
CAN 543675,500584,xxGalium trifidum
CAN 543998,500584,xxGalium trifidum
CAN 544002,500584,xxGalium trifidum
CAN 544003,500584,xxGalium trifidum
CAN 544009,500584,xxGalium trifidum
CAN 544010,500584,xxGalium trifidum
CAN 542210,500584,xxGalium trifidum
CAN 542245,500584,xxGalium trifidum
CAN 551430,500584,xxGalium trifidum
CAN 336684,500586,xxArenaria serpyllifolia
CAN 435652,500586,xxArenaria serpyllifolia
CAN 451262,500586,xxArenaria serpyllifolia
CAN 450664,500586,xxArenaria serpyllifolia
CAN 450684,500586,xxArenaria serpyllifolia
CAN 451851,500586,xxArenaria serpyllifolia
CAN 455318,500586,xxArenaria serpyllifolia
CAN 470275,500586,xxArenaria serpyllifolia
CAN 470365,500586,xxArenaria serpyllifolia
CAN 450172,500586,xxArenaria serpyllifolia
CAN 500880,500586,xxArenaria serpyllifolia
CAN 505317,500586,xxArenaria serpyllifolia
CAN 522301,500586,xxArenaria serpyllifolia
CAN 501173,500586,xxArenaria serpyllifolia
CAN 501743,500586,xxArenaria serpyllifolia
CAN 501694,500586,xxArenaria serpyllifolia
CAN 530631,500586,xxArenaria serpyllifolia
CAN 527229,500586,xxArenaria serpyllifolia
CAN 530509,500586,xxArenaria serpyllifolia
CAN 551750,500586,xxArenaria serpyllifolia
CAN 551350,500586,xxArenaria serpyllifolia
CAN 434497,500588,xxCampanula aparinoides
CAN 441044,500588,xxCampanula aparinoides
CAN 436590,500588,xxCampanula aparinoides
CAN 447625,500588,xxCampanula aparinoides
CAN 463627,500588,xxCampanula aparinoides
CAN 431068,500588,xxCampanula aparinoides
CAN 458339,500588,xxCampanula aparinoides
CAN 452248,500588,xxCampanula aparinoides
CAN 429487,500588,xxCampanula aparinoides
CAN 452067,500588,xxCampanula aparinoides
CAN 497077,500588,xxCampanula aparinoides
CAN 434351,500588,xxCampanula aparinoides
CAN 496912,500588,xxCampanula aparinoides
CAN 496942,500588,xxCampanula aparinoides
CAN 502256,500588,xxCampanula aparinoides
CAN 521978,500588,xxCampanula aparinoides
CAN 521947,500588,xxCampanula aparinoides
CAN 505347,500588,xxCampanula aparinoides
CAN 520961,500588,xxCampanula aparinoides
CAN 520928,500588,xxCampanula aparinoides
CAN 516848,500588,xxCampanula aparinoides
CAN 487492,500588,xxCampanula aparinoides
CAN 489005,500588,xxCampanula aparinoides
CAN 485748,500588,xxCampanula aparinoides
CAN 485750,500588,xxCampanula aparinoides
CAN 534929,500588,xxCampanula aparinoides
CAN 527607,500588,xxCampanula aparinoides
