speckey,Scientific Name,Parent,Level Name,Author/Date
500146,xxIsoetes,1147434,GENUS,
500148,xxEquisetum,500147,GENUS,
500163,xxStellaria longifolia,1083061,SPECIES,Muhl.
500164,xxViola renifolia,1084851,SPECIES,Gray.
500175,xxRanunculus repens,1080044,SPECIES,L.
500179,xxPotentilla argentea,1089130,SPECIES,
500575,xxLobelia spicata,1102670,SPECIES,Lam.
500588,xxCampanula aparinoides,1102331,SPECIES,Pursh.
1091941,xxOxytropis varians,1091883,SPECIES,(Rydb.) K. Schum.
1100255,xxPlantago media,1100211,SPECIES,L.
1110544,xxEriophorum triste,1110509,SPECIES,(T. Fries) Hulten & A. Love
1131356,xxJuncus arcticus,1131355,SPECIES,
1131175,xxElymus,1131103,GENUS,L.
1131182,xxFestuca,1131103,GENUS,L.
1132729,xxSpilanthes,1132606,GENUS,Jacquin
1136551,xxKalmia polifolia,1136548,SPECIES,Wong.
1136099,xxRorippa islandica,1136097,SPECIES,(Oeder) Borbas
1136614,xxMonotropa uniflora,1136612,SPECIES,L.
1135999,xxCochlearia,1135960,GENUS,L.
1143816,xxLupinus arcticus,1143815,SPECIES,S. Wats.
