speckey,scientific_name,variation
1146947,Pinaceae,xxPinaceae
1147092,Taxodiaceae,xxTaxodiaceae
1071639,Aspicilia,xxAspicilia
1080053,Ranunculus acris,xxRanunculus acris
1079706,Anemone,xxAnemone
1079708,Anemone canadensis,xxAnemone canadensis
1083828,Polygonum sagittatum,xxPolygonum sagittatum
1083726,Polygonum amphibium,xxPolygonum amphibium
1102724,Lobelia kalmii,xxLobelia kalmii
1082581,Cerastium arvense,xxCerastium arvense
1083103,Stellaria media,xxStellaria media
1100208,Plantaginaceae,xxPlantaginaceae
1100211,Plantago,xxPlantago
1084704,Drosera,xxDrosera
1084715,Drosera rotundifolia,xxDrosera rotundifolia
1103136,Galium triflorum,xxGalium triflorum
1082501,Arenaria,xxArenaria
1102331,Campanula,xxCampanula
1073368,Lecidea,xxLecidea
1071338,Acarospora,xxAcarospora
1084826,Violaceae,xxViolaceae
1088544,Rosaceae,xxRosaceae
1082490,Caryophyllaceae,xxCaryophyllaceae
1079672,Ranunculaceae,xxRanunculaceae
1080507,Fumariaceae,xxFumariaceae
1083129,Polygonaceae,xxPolygonaceae
1102873,Rubiaceae,xxRubiaceae
1102321,Campanulaceae,xxCampanulaceae
1084701,Droseraceae,xxDroseraceae
1147466,Selaginellaceae,xxSelaginellaceae
1147467,Selaginella,xxSelaginella
1147434,Isoetaceae,xxIsoetaceae
1078876,Botrychium,xxBotrychium
1089130,Potentilla,xxPotentilla
1084851,Viola,xxViola
1083061,Stellaria,xxStellaria
1080044,Ranunculus,xxRanunculus
1102670,Lobelia,xxLobelia
1102682,Lobelia cardinalis,xxLobelia cardinalis
1080227,Ranunculus sceleratus,xxRanunculus sceleratus
1080045,Ranunculus abortivus,xxRanunculus abortivus
1080070,Ranunculus aquatilis,xxRanunculus aquatilis
1080510,Corydalis,xxCorydalis
1080512,Corydalis aurea,xxCorydalis aurea
1082569,Cerastium,xxCerastium
1083722,Polygonum,xxPolygonum
1083733,Polygonum arifolium,xxPolygonum arifolium
1080218,Ranunculus recurvatus,xxRanunculus recurvatus
1102984,Galium,xxGalium
1148078,Osmundaceae,xxOsmundaceae
1148083,Osmunda,xxOsmunda
1077912,Adiantum,xxAdiantum
1077955,Cheilanthes,xxCheilanthes
1148275,Eriosorus,xxEriosorus
1148347,Pellaea,xxPellaea
1078059,Pityrogramma,xxPityrogramma
1075841,Multiclavula,xxMulticlavula
1100182,Hippuridaceae,xxHippuridaceae
1100183,Hippuris,xxHippuris
1100186,Hippuris vulgaris,xxHippuris vulgaris
1087437,Diapensiaceae,xxDiapensiaceae
1087438,Diapensia,xxDiapensia
1083957,Plumbaginaceae,xxPlumbaginaceae
1087826,Crassulaceae,xxCrassulaceae
1080384,Papaveraceae,xxPapaveraceae
1080467,Papaver,xxPapaver
1080476,Papaver lapponicum,xxPapaver lapponicum
502870,Cladonia pocillum,xxCladonia pocillum
