ID Number,OtherNumber,Type
CAN 0018741A,10258,collector no./field no.
CAN 0018848A,S.N.,collector no./field no.
CAN 0025031A,53846,collector no./field no.
CAN 0025174A,53853,collector no./field no.
CAN 0075151A,9449,collector no./field no.
CAN 0075252A,9535,collector no./field no.
CAN 0098668A,11911,collector no./field no.
CAN 0269665A,7586,collector no./field no.
CAN 0274631A,116,collector no./field no.
CAN 0279587A,363,collector no./field no.
CAN 0280171A,12588,collector no./field no.
CAN 0283818A,491,collector no./field no.
CAN 0310691A,53877,collector no./field no.
CAN 0313097A,1105,collector no./field no.
CAN 0353483A,560,collector no./field no.
CAN 0353484A,1099,collector no./field no.
CAN 0363507A,560,collector no./field no.
CAN 0477869A,19,collector no./field no.
CAN 0477884A,38,collector no./field no.
CAN 0477924A,36,collector no./field no.
CAN 0485960A,770,collector no./field no.
CAN 0486127A,938,collector no./field no.
CAN 0486139A,950,collector no./field no.
CAN 0486191A,1003A,collector no./field no.
CAN 0486204A,1222,collector no./field no.
CAN 0486206A,1224,collector no./field no.
CAN 0486278A,1088,collector no./field no.
CAN 0486298A,1108,collector no./field no.
CAN 0486384A,1200,collector no./field no.
CAN 0486409A,1227,collector no./field no.
CAN 0486412A,1231,collector no./field no.
CAN 0486414A,1233,collector no./field no.
CAN 100341,10676,collector no./field no.
CAN 100342,10676,collector no./field no.
CAN 102080,9556,collector no./field no.
CAN 102081,9496,collector no./field no.
CAN 102082,9283,collector no./field no.
CAN 102083,1002,collector no./field no.
CAN 102084,193,collector no./field no.
CAN 102333,9949,collector no./field no.
CAN 102334,9703,collector no./field no.
CAN 102336,10085,collector no./field no.
CAN 102337,10084,collector no./field no.
CAN 102338,9993,collector no./field no.
CAN 102339,192,collector no./field no.
CAN 102340,9363,collector no./field no.
CAN 102411,11101,collector no./field no.
CAN 102412,11440,collector no./field no.
CAN 102413,9992,collector no./field no.
CAN 102414,10083,collector no./field no.
CAN 102415,9816,collector no./field no.
CAN 102416,10419,collector no./field no.
CAN 102417,10859,collector no./field no.
CAN 102418,9225,collector no./field no.
CAN 102419,725,collector no./field no.
CAN 102420,717,collector no./field no.
CAN 102421,604,collector no./field no.
CAN 102422,413,collector no./field no.
CAN 102423,312,collector no./field no.
CAN 102424,88,collector no./field no.
CAN 102425,1088,collector no./field no.
CAN 102426,79003,collector no./field no.
CAN 102427,79003,collector no./field no.
CAN 102428,81558,collector no./field no.
CAN 102429,81558,collector no./field no.
CAN 102430,7959,collector no./field no.
CAN 102431,57,collector no./field no.
CAN 102432,134,collector no./field no.
CAN 102433,12061,collector no./field no.
CAN 102434,9546,collector no./field no.
CAN 102435,9799,collector no./field no.
CAN 102436,no data,collector no./field no.
CAN 102437,9291,collector no./field no.
CAN 102438,194,collector no./field no.
CAN 102439,78998,collector no./field no.
CAN 102440,78998,collector no./field no.
CAN 102884,59097,old CMN catalogue number format
CAN 102885,352,collector no./field no.
CAN 102897,10703,collector no./field no.
CAN 102898,10703,collector no./field no.
CAN 103703,98945,collector no./field no.
CAN 103740,11311,collector no./field no.
CAN 103741,11685,collector no./field no.
CAN 103742,9951,collector no./field no.
CAN 103743,10144,collector no./field no.
CAN 103744,10421,collector no./field no.
CAN 103745,10087,collector no./field no.
CAN 103746,9817,collector no./field no.
CAN 103747,10224,collector no./field no.
CAN 103748,428,collector no./field no.
CAN 103749,285,collector no./field no.
CAN 103750,9475,collector no./field no.
CAN 103751,229,collector no./field no.
CAN 103752,842,collector no./field no.
CAN 103797,66,collector no./field no.
CAN 103798,11996,collector no./field no.
CAN 103799,11754,collector no./field no.
CAN 103800,10086,collector no./field no.
CAN 103801,10937,collector no./field no.
CAN 103842,64,collector no./field no.
CAN 104042,701,collector no./field no.
CAN 104061,89,collector no./field no.
CAN 104062,21,collector no./field no.
CAN 104063,1066,collector no./field no.
CAN 104064,9515,collector no./field no.
CAN 104067,9497,collector no./field no.
CAN 104068,9227,collector no./field no.
CAN 104069,9226,collector no./field no.
CAN 104070,10708,collector no./field no.
CAN 104093,22677,collector no./field no.
CAN 104596,9594,collector no./field no.
CAN 104597,132,collector no./field no.
CAN 104598,78991,collector no./field no.
CAN 104599,1101,collector no./field no.
CAN 104600,321,collector no./field no.
CAN 104601,11687,collector no./field no.
CAN 104602,10860,collector no./field no.
CAN 104603,10863,collector no./field no.
CAN 104639,10145,collector no./field no.
CAN 104640,10444,collector no./field no.
CAN 104673,10861,collector no./field no.
CAN 104674,10862,collector no./field no.
CAN 104675,10322,collector no./field no.
CAN 104676,10420,collector no./field no.
CAN 104677,10422,collector no./field no.
CAN 104678,10186,collector no./field no.
CAN 104679,10635,collector no./field no.
CAN 104680,10024,collector no./field no.
CAN 104681,11686,collector no./field no.
CAN 104682,590,collector no./field no.
CAN 104683,522,collector no./field no.
CAN 104724,9844,collector no./field no.
CAN 104725,492,collector no./field no.
CAN 104726,443,collector no./field no.
CAN 104727,9358,collector no./field no.
CAN 104731,9384,collector no./field no.
CAN 104862,9348,collector no./field no.
CAN 104863,9359,collector no./field no.
CAN 104864,10025,collector no./field no.
CAN 104865,10088,collector no./field no.
CAN 104866,9812,collector no./field no.
CAN 104867,9813,collector no./field no.
CAN 104868,10867,collector no./field no.
CAN 104872,10413,collector no./field no.
CAN 105204,9973,collector no./field no.
CAN 105205,10090,collector no./field no.
CAN 105206,10094,collector no./field no.
CAN 105207,10634,collector no./field no.
CAN 105314,9754,collector no./field no.
CAN 105315,9495,collector no./field no.
CAN 105316,9752,collector no./field no.
CAN 105317,10704,collector no./field no.
CAN 105318,10.866a,collector no./field no.
CAN 105319,10326,collector no./field no.
