part_measured,id_number
0 Can 482 male,CMNFI 1999-0046.1
0 Can 483 male,CMNFI 1999-0046.1
0 Can 484 male,CMNFI 1999-0046.1
1 - fork length,CMNFI 1970-0320.3
2 - fork length,CMNFI 1970-0320.3
3 - fork length,CMNFI 1970-0320.3
44,CMNFI 1986-0280.3
49,CMNFI 1986-0280.3
D2I,CMNFI 1965-0317.3
FL,
FL range,
HL,CMNFI 1983-0250.1
IO width,
IOW,
L,
SL,
SL  range,
SL length range,
SL range,
SL range (females),
SL range (males),
TL,
WT,
adult,
age,CMNFI 1980-0821.1
anal fin rays,
anal ray,CMNFI 1965-0317.3
anal rays,
anal spines,CMNFI 1983-0267.1
bill,CMNAV S6166
body depth,
body length,
branchiostegal rays,CMNFI 1978-0171.1
carapace,
carapace length,CMNAR 8210
carapace width,
carcass,
caudal length,CMNFI 1966-0100.1
caudal peduncle,CMNFI 1966-0100.1
caudal peduncle scale,CMNFI 1983-0259.1
claw length,CMNAR 33214
depth,CMNFI 1966-0100.1
dismantled skull,CMNFI 1958-0078.1
distal iris,CMNAV S6166
dorsal,CMNAR 33196
dorsal fin rays,
dorsal rays,
dorsal scales,CMNAR 33194
dorsal spines,CMNFI 1983-0267.1
dorsal stripe,CMNAR 33667
egg #12,
egg #15,
egg #16,
egg #23,
egg diameter,CMNAR 33779
egg mass weight,
eye diameter,
eyelid edges,CMNAV S6166
fat class,
feet,CMNAV S6166
female,
females,CMNFI 1958-0140.1
femur,CMNAR 33193
figure length,CMNAR 33214
figure width,CMNAR 33214
fin legth,CMNFI 1988-0087.1
fork length,
gape,CMNAV S6166
gill raker count,
gill raker length,CMNFI 1978-0171.1
gill rakers,
gill rakers count,CMNFI 1987-0413.1
girth,
ground,CMNAR 33194
head,CMNFI 1966-0100.1
head length,
host,
immature,
inner iris,CMNAV S6166
inner orbital width,
interorbital,CMNFI 1988-0087.1
interorbital width,
lateral line pores,CMNFI 1965-0317.3
lateral line scales,
lateral scales,CMNAR 33194
lateral stripe,CMNAR 33667
length,
male,
males,CMNFI 1958-0140.1
maximum depth,CMNFI 1983-0259.1
mouth width,
myomeres,CMNFI 1971-0769.1
nose to eye,
operculum flap to posterior end of dorsal fin,
orbit,
original weight,CMNFI 1988-0087.1
other specimen,CMNFI 1986-0995.1
ova,
ovary,
paratoid,CMNAR 33193
pectoral fin rays,
pectoral rays,CMNFI 1965-0317.3
pelvic rays,CMNFI 1978-0171.1
plastron,
plastron length,CMNAR 33214
plastron width,CMNAR 33214
pre-anal blotches,
precaudal vertebrae,CMNFI 1986-0445.1
ratios eye diameter,CMNFI 1966-0100.1
scale count,
scutes,
sl,
snout,
snout length,
snout-operculum,
specimen size,CMNFI 1977-0305.1
standar length,CMNFI 1987-0315.1
standard length,
testes,
total length,
total length range,
total weight,CMNFI 1977-0642.1
trunk,CMNC 1994-0009
ventral,CMNAR 33196
weight,
weight (gutted),
weight of 73 cm SL skeletal specimen,CMNFI 1975-1896.3
weight of 77 cm SL skeletal specimen,CMNFI 1975-1896.3
whole,CMNFI 2006-0016.1
whole specimen,CMNFI 2005-0133.1
width,CMNML 093695
yolk sac,CMNAR 14876
