id_number,label_name,taxon_link,ident,id_date,type_status,higher_taxa,count,sex,coll_num,collector,place_collected,date_collected,spec_nature,description,acq_number,site_desc,altitude,lat,long,site_notes,home_loc
CMNAR 1220,Pseudacris triseriata feriarum,Pseudacris feriarum,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Patch, Clyde L.","North America: Canada, Ontario",1925-08-19,,,"",Christie Lake,"",44.8,-76.433333,,
CMNAR 12211,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,5,,"","Cook, Francis R.","North America: Canada, Manitoba",1970-05-21,,,1970-165,9 mi. W. on Hwy. 1 of jct. with Hwy. 11,"",49.665833,-96.103611,,
CMNAR 12239,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,31,,"","Cook, Francis R.; Cook, Joyce C.; Cook, Wanda J.","North America: Canada, Ontario",1970-05-31,,,1970-165,"Beaver creek, 6 mi. W. on Hwy. 17 of Oxdrift","",49.8,-93.05,,
CMNAR 12242,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,23,,"","Cook, Francis R.","North America: Canada, Manitoba",1970-06-01,,,1970-165,4 mi. N. on Hwy. 75 of Glenlea,"",49.693056,-97.135833,,
CMNAR 1225,Pseudacris triseriata feriarum,Pseudacris feriarum,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Patch, Clyde L.","North America: Canada, Ontario, Ottawa (metro)",1925-09-08,,,"",Ottawa,"",45.416667,-75.683333,,
CMNAR 12253,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,27,,"","Cook, Francis R.","North America: Canada, Manitoba",1970-06-07,,,1970-165,6-10 mi. S. on Hwy. 10 of The Pas,"",53.7,-101.2,,
CMNAR 12294,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Buckle, D.J.","North America: Canada, Saskatchewan",1969-06-03,,,1971-014,1.5 mi. W. of Lady Lake,"",52.016667,-102.65,,
CMNAR 12316,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,3,,"","Holmberg, Robert G.; Buckle, D.J.","North America: Canada, Saskatchewan",(18-19 SEP 1969),,,1971-014,1.5 mi. W. of Lady Lake,"",52.016667,-102.65,,
CMNAR 12320,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,43,,"","Buckle, D.J.","North America: Canada, Saskatchewan",1962-07-26,,,1971-015,Emma Lake,"",53.566667,-105.866667,,
CMNAR 12324,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,3,,"","Buckle, D.J.","North America: Canada, Saskatchewan",1962-07-26,,,1971-015,"Sunnyside Beach, Emma Lake","",53.566667,-105.85,,
