id_number,other_number,on_type,taxonomy
CMNMA 42990,172,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 42992,174,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 42993,176,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 42994,177,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 42995,178,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 42996,179,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 42997,181,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 42998,5,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 42999,9,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 43000,10,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 43001,11,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 43002,13,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 43003,14,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 43004,16,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 43005,17,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 43006,18,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 43007,19,collector no./field no.,Clethrionomys gapperi ungava
CMNMA 43010,52,collector no./field no.,Phenacomys ungava celatus
CMNMA 43011,98,collector no./field no.,Phenacomys ungava celatus
CMNMA 43012,35,collector no./field no.,Microtus pennsylvanicus labradorius
CMNMA 43013,36,collector no./field no.,Microtus pennsylvanicus labradorius
CMNMA 43014,46,collector no./field no.,Microtus pennsylvanicus labradorius
CMNMA 43015,47,collector no./field no.,Microtus pennsylvanicus labradorius
CMNMA 43016,48,collector no./field no.,Microtus pennsylvanicus labradorius
CMNMA 43017,49,collector no./field no.,Microtus pennsylvanicus labradorius
CMNMA 43018,56,collector no./field no.,Microtus pennsylvanicus labradorius
CMNMA 43019,65,collector no./field no.,Microtus pennsylvanicus labradorius
CMNMA 43020,74,collector no./field no.,Microtus pennsylvanicus labradorius
CMNMA 43021,75,collector no./field no.,Microtus pennsylvanicus labradorius
CMNMA 43022,77,collector no./field no.,Microtus pennsylvanicus labradorius
CMNMA 43023,80,collector no./field no.,Microtus pennsylvanicus labradorius
