speckey,scientific_name,authority,rank,hierarchy,total,CA-US_total,CA-US_breakdown
1152492,Dromaius novaehollandiae,,species,Animalia; Chordata; Vertebrata; Aves; Struthioniformes; Casuariidae; Dromaius,9,0,
1167396,Casuarius casuarius,,species,Animalia; Chordata; Vertebrata; Aves; Struthioniformes; Casuariidae; Casuarius,1,0,
1152489,Apteryx owenii,,species,Animalia; Chordata; Vertebrata; Aves; Struthioniformes; Apterygidae; Apteryx,2,0,
1152498,Crypturellus parvirostris,,species,Animalia; Chordata; Vertebrata; Aves; Tinamiformes; Tinamidae; Crypturellus,4,0,
1152499,Crypturellus soui,,species,Animalia; Chordata; Vertebrata; Aves; Tinamiformes; Tinamidae; Crypturellus,1,0,
1152500,Crypturellus undulatus,,species,Animalia; Chordata; Vertebrata; Aves; Tinamiformes; Tinamidae; Crypturellus,1,0,
1171047,Crypturellus obsoletus,,species,Animalia; Chordata; Vertebrata; Aves; Tinamiformes; Tinamidae; Crypturellus,1,0,
1152502,Nothura boraquira,,species,Animalia; Chordata; Vertebrata; Aves; Tinamiformes; Tinamidae; Nothura,1,0,
1152503,Nothura maculosa,,species,Animalia; Chordata; Vertebrata; Aves; Tinamiformes; Tinamidae; Nothura,2,0,
1167532,Butastur rufipennis,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Butastur,2,0,
1167534,Butastur indicus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Butastur,1,0,
502665,Hieraeetus ayersii,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Hieraeetus,1,0,
1163883,Archaeopteryx lithographica,"Meyer, 1861",species,Animalia; Chordata; Vertebrata; Aves; Archaeopterygiformes; Archaeopterygidae; Archaeopteryx,4,0,
1152496,Struthio camelus,,species,Animalia; Chordata; Vertebrata; Aves; Struthioniformes; Struthionidae; Struthio,7,0,
1152494,Rhea americana,,species,Animalia; Chordata; Vertebrata; Aves; Struthioniformes; Rheidae; Rhea,1,0,
1151040,Pandion haliaetus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Pandionidae; Pandion,80,73,"{:nil=>38, :B=>1, :E=>18, :S=>12, :T=>3, :Z=>1}"
1124155,Geranoaetus albicaudatus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Geranoaetus,1,1,"{:nil=>0, :B=>0, :E=>1, :S=>0, :T=>0, :Z=>0}"
1151025,Chondrohierax uncinatus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Chondrohierax,1,0,
1151030,Elanoides forficatus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Elanoides,2,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1151031,Elanus caeruleus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Elanus,1,0,
1151032,Elanus leucurus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Elanus,2,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
502641,Rostrhamus sociabilis,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Rostrhamus,2,2,"{:nil=>0, :B=>0, :E=>2, :S=>0, :T=>0, :Z=>0}"
1151037,Ictinia plumbea,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Ictinia,1,0,
1151036,Ictinia mississippiensis,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Ictinia,2,2,"{:nil=>1, :B=>0, :E=>1, :S=>0, :T=>0, :Z=>0}"
1151096,Colinus virginianus,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Odontophoridae; Colinus,43,40,"{:nil=>27, :B=>1, :E=>2, :S=>2, :T=>8, :Z=>0}"
1151098,Oreortyx pictus,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Odontophoridae; Oreortyx,8,8,"{:nil=>6, :B=>0, :E=>1, :S=>0, :T=>1, :Z=>0}"
1151090,Numida meleagris,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Numididae; Numida,9,5,"{:nil=>3, :B=>0, :E=>1, :S=>0, :T=>1, :Z=>0}"
1167431,Guttera pucherani,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Numididae; Guttera,9,0,
1167433,Acryllium vulturinum,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Numididae; Acryllium,2,0,
1151101,Meleagris gallopavo,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Meleagridinae; Meleagris,24,15,"{:nil=>5, :B=>0, :E=>5, :S=>1, :T=>0, :Z=>4}"
1167441,Francolinus streptophorus,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Francolinus,2,0,
1167442,Francolinus shelleyi,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Francolinus,1,0,
1167443,Francolinus clappertoni,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Francolinus,4,0,
1167444,Francolinus icterorhynchus,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Francolinus,3,0,
1167445,Francolinus squamatus,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Francolinus,4,0,
1167446,Francolinus afer,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Francolinus,8,0,
1167447,Francolinus sephaena,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Francolinus,1,0,
1151104,Afropavo congensis,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Afropavo,2,0,
1151039,Milvus migrans,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Milvus,5,0,
1151035,Haliastur sphenurus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Haliastur,2,0,
1151033,Haliaeetus albicilla,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Haliaeetus,3,0,
1151034,Haliaeetus leucocephalus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Haliaeetus,57,53,"{:nil=>36, :B=>2, :E=>4, :S=>6, :T=>3, :Z=>2}"
1167522,Haliaeetus leucogaster,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Haliaeetus,1,0,
1167523,Haliaeetus leucoryphus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Haliaeetus,1,0,
1167524,Gyps himalayensis,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Gyps,1,0,
