Alligator mississippiensis,1077894,1077893,Amphibian and Reptile
Alligator sinensis,1077895,1077893,""
Caiman crocodilus,1077897,1077896,Amphibian and Reptile
Caiman sclerops,1077898,1077896,Amphibian and Reptile
Crocodylus acutus,1077900,1077899,Amphibian and Reptile
Crocodylus cataphractus,1077901,1077899,Amphibian and Reptile
Crocodylus niloticus,1077902,1077899,Amphibian and Reptile
Crocodylus palustris,1077903,1077899,Amphibian and Reptile
Crocodylus porosus,1077904,1077899,Amphibian and Reptile
Crocodylus rhombifer,1170869,1077899,Amphibian and Reptile
Crocodylus prenasalis,1169314,1077899,Fossil Vertebrate
Crocodylus johnstoni,1193899,1077899,Amphibian and Reptile
Paleosuchus palpebrosus,1077906,1077905,Amphibian and Reptile
Osteolaemus tetraspis,1077908,1077907,Amphibian and Reptile
Leidyosuchus canadensis,1163477,1163476,Fossil Vertebrate
Leidyosuchus acutidentatus,1169169,1163476,Fossil Vertebrate
Tomistoma schlegelii,1164993,1164992,Amphibian and Reptile
Ceratosuchus burdoshi,1164034,1164033,Fossil Vertebrate
Phyllodontosuchus lufengensis,1174461,1174460,Fossil Vertebrate
Platyrhynchosuchus huilensis,1172635,1172634,Fossil Vertebrate
Araripesuchus rattoides,1183640,1170074,Fossil Vertebrate
Steneosaurus bollensis,1164911,1164910,Fossil Vertebrate
Teleosaurus cadomensis,1171154,1171153,Fossil Vertebrate
Pterodactylus antiquus,1164821,1164820,Fossil Vertebrate
Ctenochasma elegans,1175001,1186186,Fossil Vertebrate
Nyctodactylus gracilis,1164605,1164604,Fossil Vertebrate
Rhamphorhynchus phyllurus,1164839,1164838,Fossil Vertebrate
Qianosuchus mixtus,1182226,1182224,Fossil Vertebrate
Amargasaurus casaui,1174300,1174299,Fossil Vertebrate
Rebbachisaurus garasbae,1183080,1170071,Fossil Vertebrate
Camarasaurus grandis,1163537,1163536,Fossil Vertebrate
Saltasaurus loricatus,1163562,1163561,Fossil Vertebrate
Hypselosaurus priscus,1169213,1169212,Fossil Vertebrate
Shunosaurus lii,1173985,1173984,Fossil Vertebrate
Irenesauripus acutus,1164405,1164404,Fossil Vertebrate
Irenesauripus mclearni,1164406,1164404,Fossil Vertebrate
Irenesauripus occidentalis,1170802,1164404,Fossil Vertebrate
Chirostenotes pergracilis,1164064,1166080,Fossil Vertebrate
Troodon formosus,1165008,1163639,Fossil Vertebrate
Ornithomimipus gracilis,1164409,1164628,Fossil Vertebrate
Ornithomimipus angustus,1164629,1164628,Fossil Vertebrate
Spinosaurus maroccanus,1183074,1167491,Fossil Vertebrate
Ceratosaurus nasicornis,1163540,1163539,Fossil Vertebrate
Deinonychus antirrhopus,1163546,1163545,Fossil Vertebrate
Dromaeosaurus albertensis,1163548,1163547,Fossil Vertebrate
Sinornithosaurus millenii,1174483,1174482,Fossil Vertebrate
Saurornitholestes langstoni,1183512,1175002,Fossil Vertebrate
Poekilopleuron bucklandii,1163551,1163550,Fossil Vertebrate
Columbosauripus ungulatus,1164116,1164115,Fossil Vertebrate
Richardoestesia gilmorei,1183510,1183508,Fossil Vertebrate
Sinosauropteryx prima,1174487,1174486,""
Carnotaurus sastrei,1174456,1174455,Fossil Vertebrate
Dryptosaurus aquilunguis,1174290,1167150,Fossil Vertebrate
Allosaurus fragilis,1163534,1163533,Fossil Vertebrate
Gorgosaurus explanatus,1166143,1166142,Fossil Vertebrate
Gorgosaurus libratus,1166754,1166142,Fossil Vertebrate
Daspletosaurus torosus,1165746,1165745,Fossil Vertebrate
Albertosaurus sarcophagus,1165898,1165897,Fossil Vertebrate
Tarbosaurus bataar,1172754,1172753,Fossil Vertebrate
Tyrannosaurus rex,1177970,1169250,Fossil Vertebrate
Torvosaurus tanneri,1174536,1174535,Fossil Vertebrate
Carcharodontosaurus saharicus,1183076,1167422,Fossil Vertebrate
Sigilmassasaurus brevicollis,1174034,1174033,Fossil Vertebrate
Caenagnathus collinsi,1163994,1169128,Fossil Vertebrate
Caenagnathus sternbergi,1169129,1169128,Fossil Vertebrate
Ornithoidipus pergracilis,1171223,1171222,Fossil Vertebrate
Struthiomimus altus,1167160,1164934,Fossil Vertebrate
Ornithomimus edmontonicus,1165936,1163555,Fossil Vertebrate
Chirostenotes elegans,1164632,1163555,Fossil Vertebrate
Ornithomimus velox,1163556,1163555,Fossil Vertebrate
Eubrontes sillimani,1163867,1163866,Fossil Vertebrate
Leptoceratops gracilis,1165930,1165929,Fossil Vertebrate
Protoceratops andrewsi,1164795,1164794,Fossil Vertebrate
Eotriceratops xerinsularis,1182232,1182230,Fossil Vertebrate
Centrosaurus apertus,1164026,1163498,Fossil Vertebrate
Monoclonius crassus,1178001,1164559,Fossil Vertebrate
Pachyrhinosaurus canadensis,1164661,1164660,Fossil Vertebrate
Styracosaurus albertensis,1163632,1163631,Fossil Vertebrate
Xenoceratops foremostensis,1195029,1195027,Fossil Vertebrate
Spiclypeus shipporum,1196825,1196823,Fossil Vertebrate
Chasmosaurus belli,1165664,1163500,Fossil Vertebrate
Chasmosaurus russelli,1164059,1163500,Fossil Vertebrate
Triceratops horridus,1176628,1163503,Fossil Vertebrate
Triceratops prorsus,1195822,1163503,Fossil Vertebrate
Anchiceratops ornatus,1169092,1163861,Fossil Vertebrate
Arrhinoceratops brachyops,1195396,1174244,Fossil Vertebrate
Vagaceratops irvinensis,1174245,1176626,Fossil Vertebrate
Pentaceratops aquilonius,1195639,1195637,Fossil Vertebrate
Cionodon stenopsis,1169787,1169786,Fossil Vertebrate
Hadrosaurus foulkii,1174202,1163511,Fossil Vertebrate
Kritosaurus selwyni,1167226,1163513,Fossil Vertebrate
Prosaurolophus maximus,1168742,1163517,Fossil Vertebrate
Brachylophosaurus canadensis,1163973,1163972,Fossil Vertebrate
Saurolophus osborni,1164853,1164852,Fossil Vertebrate
Gryposaurus notabilis,1165801,1165800,Fossil Vertebrate
Edmontosaurus regalis,1165806,1165802,Fossil Vertebrate
Edmontosaurus saskatchewanensis,1165813,1165802,Fossil Vertebrate
Edmontosaurus annectens,1171150,1165802,Fossil Vertebrate
Corythosaurus casuarius,1163510,1163509,Fossil Vertebrate
Lambeosaurus magnicristatus,1164421,1163515,Fossil Vertebrate
Lambeosaurus lambei,1165900,1163515,Fossil Vertebrate
Hypacrosaurus altispinus,1165810,1165807,Fossil Vertebrate
Parasaurolophus walkeri,1169211,1169210,Fossil Vertebrate
Bactrosaurus johnsoni,1170912,1170911,Fossil Vertebrate
Gypsichnites pacensis,1164319,1164318,Fossil Vertebrate
Iguanodon atherfieldensis,1164402,1164401,Fossil Vertebrate
Amblydactylus gethingi,1163846,1163845,Fossil Vertebrate
